"Taxon Name", "Match", "Number of Matches", "Matches"
"Abies Balsamea", "yes", "3", "Abies Miller, Picea abies (Linnaeus) H. Karsten, Picea abies (Linnaeus) H. Karsten"
"Abies Bifolia", "yes", "3", "Abies Miller, Picea abies (Linnaeus) H. Karsten, Picea abies (Linnaeus) H. Karsten"
"Abietinella Abietina", "no", "0", "NA"
"Achillea Alpina", "yes", "1", "Achillea Linnaeus"
"Achillea Millefolium", "yes", "1", "Achillea Linnaeus"
"Achillea Ptarmica", "yes", "1", "Achillea Linnaeus"
"Achnatherum", "no", "0", "NA"
"Achnatherum Arnowiae", "no", "0", "NA"
"Achnatherum Hymenoides", "no", "0", "NA"
"Achnatherum Nelsonii", "no", "0", "NA"
"Achnatherum Nelsonii Subsp. Dorei", "no", "0", "NA"
"Achnatherum Nelsonii Subsp. Nelsonii", "no", "0", "NA"
"Achnatherum Occidentale", "no", "0", "NA"
"Achnatherum Occidentale Subsp. Californicum", "no", "0", "NA"
"Achnatherum Occidentale Subsp. Occidentale", "no", "0", "NA"
"Achnatherum Occidentale Subsp. Pubescens", "no", "0", "NA"
"Achnatherum Richardsonii", "no", "0", "NA"
"Achnatherum Splendens", "no", "0", "NA"
"Aconitum Delphiniifolium", "yes", "1", "Aconitum Linnaeus"
"Acorus Americanus", "yes", "3", "Acorus Linnaeus, Acorus americanus (Rafinesque) Rafinesque, Acorus calamus Linnaeus"
"Acroptilon Repens", "yes", "1", "Rhaponticum repens (Linnaeus) Hidalgo"
"Actaea Rubra", "yes", "1", "Actaea Linnaeus"
"Adenocaulon Bicolor", "yes", "11", "Adenocaulon Hooker, Epilobium ciliatum Rafinesque subsp. ciliatum var. ciliatum, Epilobium ciliatum Rafinesque subsp. ciliatum var. ciliatum, Epilobium saximontanum Haussknecht, Epilobium ciliatum subsp. glandulosum (Lehmann) Hoch & P.H. Raven, Epilobium ciliatum subsp. ciliatum var. ecomosum (Fassett) B. Boivin, Epilobium ciliatum Rafinesque subsp. ciliatum var. ciliatum, Epilobium ciliatum Rafinesque subsp. ciliatum var. ciliatum, Epilobium ciliatum Rafinesque subsp. ciliatum var. ciliatum, Epilobium ciliatum Rafinesque subsp. ciliatum var. ciliatum, Epilobium ciliatum Rafinesque subsp. ciliatum var. ciliatum"
