"Taxon Name", "Match", "Number of Matches", "Match Number", "Matches", "Scientific Name Authorship", "Canonical Name", "Taxon Rank", "Name According To", "Taxonic Status", "Higher Classification"
"Abies balsamea", "yes", "1", "1", "Abies balsamea (Linnaeus) Miller", "(Linnaeus) Miller", "Abies balsamea", "species", "FNA Editorial Committee. 1993. Flora of North America north of Mexico. Volume 2: Pteridophytes and Gymnosperms. Oxford University Press, New York.", "accepted", "Equisetopsida;Pinidae;Pinales;Pinaceae;Abies;Abies sect. Balsamea;Abies subsect. Laterales"
"Abies bifolia", "yes", "1", "1", "Abies bifolia A. Murray", "A. Murray", "Abies bifolia", "species", "FNA Editorial Committee. 1993. Flora of North America north of Mexico. Volume 2: Pteridophytes and Gymnosperms. Oxford University Press, New York.", "accepted", "Equisetopsida;Pinidae;Pinales;Pinaceae;Abies;Abies sect. Balsamea;Abies subsect. Laterales"
"Abietinella abietina", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Achillea alpina", "yes", "1", "1", "Achillea alpina Linnaeus", "Linnaeus", "Achillea alpina", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Anthemideae;Matricariinae;Achillea"
"Achillea millefolium", "yes", "1", "1", "Achillea millefolium Linnaeus", "Linnaeus", "Achillea millefolium", "species", "", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Anthemideae;Matricariinae;Achillea"
"Achillea ptarmica", "yes", "1", "1", "Achillea ptarmica Linnaeus", "Linnaeus", "Achillea ptarmica", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Anthemideae;Matricariinae;Achillea"
"Achnatherum", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Achnatherum arnowiae", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Achnatherum hymenoides", "yes", "1", "1", "Eriocoma hymenoides (Roemer & Schultes) Rydberg", "(Roemer & Schultes) Barkworth", "Achnatherum hymenoides", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "synonym", "NULL"
"Achnatherum nelsonii", "yes", "1", "1", "Eriocoma nelsonii (Scribner) Romaschenko subsp. nelsonii", "(Scribner) Barkworth", "Achnatherum nelsonii", "species", "Peterson, P.M., K. Romaschenko, R.J. Soreng & J.V. Reyna. 2019. A key to the North American genera of Stipeae (Poaceae, Pooideae) with descriptions and taxonomic names for species of Eriocoma, Neotrinia, Oloptum, and five new genera: Barkworthia, ×Eriosella, Pseudoeriocoma, Ptilagrostiella, and Thorneochloa. Phytokeys 126: 89–125", "synonym", "NULL"
