"Taxon Name", "Volume", "Match", "Number of Matches", "Match Number", "Matches", "Scientific Name Authorship", "Canonical Name", "Taxon Rank", "Name According To", "Taxonic Status", "Higher Classification"
"Abies balsamea", "Volume 2", "yes", "1", "1", "Abies balsamea (Linnaeus) Miller", "(Linnaeus) Miller", "Abies balsamea", "species", "FNA Editorial Committee. 1993. Flora of North America north of Mexico. Volume 2: Pteridophytes and Gymnosperms. Oxford University Press, New York.", "accepted", "Equisetopsida;Pinidae;Pinales;Pinaceae;Abies;Abies sect. Balsamea;Abies subsect. Laterales"
"Abietinella abietina", "Volume 28", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Abutilon theophrasti", "Volume 6", "yes", "1", "1", "Abutilon theophrasti Medikus", "Medikus", "Abutilon theophrasti", "species", "FNA Editorial Committee. 2015. Flora of North America north of Mexico. Volume 6: Magnoliophyta: Cucurbitaceae to Droseraceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Malvales;Malvaceae;Malvoideae;Malveae;Abutilon"
"Acalypha rhomboidea", "Volume 12", "yes", "1", "1", "Acalypha rhomboidea Rafinesque", "Rafinesque", "Acalypha rhomboidea", "species", "FNA Editorial Committee. 2016. Flora of North America north of Mexico. Volume 12. Magnoliophyta: Vitaceae to Garryaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Malpighiales;Euphorbiaceae;Acalyphoideae;Acalypheae;Acalypha"
"Acanthospermum hispidum", "Volume 21", "yes", "1", "1", "Acanthospermum hispidum de Candolle", "de Candolle", "Acanthospermum hispidum", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 21: Magnoliophyta: Asteridae, part 8: Asteraceae, part 3. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Heliantheae;Acanthospermum"
"Acaulon muticum var. rufescens", "Volume 27", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Acaulon triquetrum", "Volume 27", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Achillea alpina", "Volume 19", "yes", "1", "1", "Achillea alpina Linnaeus", "Linnaeus", "Achillea alpina", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Anthemideae;Matricariinae;Achillea"
"Achillea millefolium", "Volume 19", "yes", "1", "1", "Achillea millefolium Linnaeus", "Linnaeus", "Achillea millefolium", "species", "", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Anthemideae;Matricariinae;Achillea"
"Achillea ptarmica", "Volume 19", "yes", "1", "1", "Achillea ptarmica Linnaeus", "Linnaeus", "Achillea ptarmica", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Anthemideae;Matricariinae;Achillea"
"Acorus americanus", "Volume 22", "yes", "1", "1", "Acorus americanus (Rafinesque) Rafinesque", "(Rafinesque) Rafinesque", "Acorus americanus", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Acorales;Acoraceae;Acorus"
"Acorus calamus", "Volume 22", "yes", "1", "1", "Acorus calamus Linnaeus", "Linnaeus", "Acorus calamus", "species", "FNA Editorial Committee. 2000. Flora of North America north of Mexico. Volume 22: Magnoliophyta: Alismatidae Arecidae, Commelinidae (in Part), and Zingiberidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Acorales;Acoraceae;Acorus"
"Acroptilon repens", "Volume 19", "yes", "1", "1", "Rhaponticum repens (Linnaeus) Hidalgo", "(Linnaeus) A.P. de Candolle", "Acroptilon repens", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "synonym", "NULL"
"Actaea pachypoda", "Volume 3", "yes", "1", "1", "Actaea pachypoda Elliott", "Elliott", "Actaea pachypoda", "species", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Ranunculaceae;Ranunculoideae;Actaeeae;Actaea"
"Actaea rubra", "Volume 3", "yes", "1", "1", "Actaea rubra (Aiton) Willdenow", "(Aiton) Willdenow", "Actaea rubra", "species", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Ranunculaceae;Ranunculoideae;Actaeeae;Actaea"
"Adenocaulon bicolor", "Volume 19", "yes", "1", "1", "Adenocaulon bicolor W.J. Hooker", "W.J. Hooker", "Adenocaulon bicolor", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Mutisioideae;Mutisieae;Adenocaulon"
"Adiantum pedatum", "Volume 2", "yes", "1", "1", "Adiantum pedatum Linnaeus", "Linnaeus", "Adiantum pedatum", "species", "FNA Editorial Committee. 1993. Flora of North America north of Mexico. Volume 2: Pteridophytes and Gymnosperms. Oxford University Press, New York.", "accepted", "Equisetopsida;Polypodiidae;Polypodiales;Pteridaceae;Vittarioideae;Adiantum"
"Adlumia fungosa", "Volume 3", "yes", "1", "1", "Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenburgh", "(Aiton) Greene ex Britton, Sterns & Poggenburgh", "Adlumia fungosa", "species", "FNA Editorial Committee. 1997. Flora of North America north of Mexico. Volume 3: Magnoliophyta: Magnoliidae and Hamamelidae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Ranunculanae;Ranunculales;Papaveraceae;Fumarioideae;Adlumia"
"Agalinis gattingeri", "Volume 17", "yes", "1", "1", "Agalinis gattingeri (Small) Small", "(Small) Small", "Agalinis gattingeri", "species", "FNA Editorial Committee. 2019. Flora of North America north of Mexico. Volume 17. Magnoliophyta: Tetrachondraceae to Orobanchaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Lamiales;Orobanchaceae;Gerardieae;Agalinis"
"Agalinis purpurea", "Volume 17", "yes", "1", "1", "Agalinis purpurea (Linnaeus) Pennell", "(Linnaeus) Pennell", "Agalinis purpurea", "species", "FNA Editorial Committee. 2019. Flora of North America north of Mexico. Volume 17. Magnoliophyta: Tetrachondraceae to Orobanchaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Lamiales;Orobanchaceae;Gerardieae;Agalinis"
"Agalinis purpurea var. parviflora", "Volume 17", "yes", "1", "1", "Agalinis purpurea var. parviflora (Bentham) B. Boivin", "(Bentham) B. Boivin", "Agalinis purpurea var. parviflora", "variety", "FNA Editorial Committee. 2019. Flora of North America north of Mexico. Volume 17. Magnoliophyta: Tetrachondraceae to Orobanchaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Lamiales;Orobanchaceae;Gerardieae;Agalinis;Agalinis purpurea"
"Agalinis purpurea var. purpurea", "Volume 17", "yes", "1", "1", "Agalinis purpurea (Linnaeus) Pennell var. purpurea", "(Linnaeus) Pennell", "Agalinis purpurea var. purpurea", "variety", "FNA Editorial Committee. 2019. Flora of North America north of Mexico. Volume 17. Magnoliophyta: Tetrachondraceae to Orobanchaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Lamiales;Orobanchaceae;Gerardieae;Agalinis;Agalinis purpurea"
"Agalinis skinneriana", "Volume 17", "yes", "1", "1", "Agalinis skinneriana (Alph. Wood)  Britton", "(Alph. Wood)  Britton", "Agalinis skinneriana", "species", "FNA Editorial Committee. 2019. Flora of North America north of Mexico. Volume 17. Magnoliophyta: Tetrachondraceae to Orobanchaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Lamiales;Orobanchaceae;Gerardieae;Agalinis"
"Agalinis tenuifolia", "Volume 17", "yes", "1", "1", "Agalinis tenuifolia (Vahl) Rafinesque", "(Vahl) Rafinesque", "Agalinis tenuifolia", "species", "FNA Editorial Committee. 2019. Flora of North America north of Mexico. Volume 17. Magnoliophyta: Tetrachondraceae to Orobanchaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Lamiales;Orobanchaceae;Gerardieae;Agalinis"
"Ageratina altissima", "Volume 21", "yes", "1", "1", "Ageratina altissima (Linnaeus) R.M. King & H. Robinson", "(Linnaeus) R.M. King & H. Robinson", "Ageratina altissima", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 21: Magnoliophyta: Asteridae, part 8: Asteraceae, part 3. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Eupatorieae;Ageratina"
"Ageratina altissima var. altissima", "Volume 21", "yes", "1", "1", "Ageratina altissima (Linnaeus) R.M. King & H. Robinson var. altissima", "(Linnaeus) R.M. King & H. Robinson", "Ageratina altissima var. altissima", "variety", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 21: Magnoliophyta: Asteridae, part 8: Asteraceae, part 3. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Asteroideae;Eupatorieae;Ageratina;Ageratina altissima"
"Agoseris glauca", "Volume 19", "yes", "1", "1", "Agoseris glauca (Pursh) Rafinesque", "(Pursh) Rafinesque", "Agoseris glauca", "species", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Cichorioideae;Cichorieae;Agoseris"
"Agoseris glauca var. glauca", "Volume 19", "yes", "1", "1", "Agoseris glauca (Pursh) Rafinesque var. glauca", "(Pursh) Rafinesque", "Agoseris glauca var. glauca", "variety", "FNA Editorial Committee. 2006. Flora of North America north of Mexico. Volume 19: Magnoliophyta: Asteridae, part 6: Asteraceae, part 1. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Asteranae;Asterales;Asteraceae;Cichorioideae;Cichorieae;Agoseris;Agoseris glauca"
"Agrimonia gryposepala", "Volume 9", "yes", "1", "1", "Agrimonia gryposepala Wallroth", "Wallroth", "Agrimonia gryposepala", "species", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Sanguisorbeae;Agrimonia"
"Agrimonia parviflora", "Volume 9", "yes", "1", "1", "Agrimonia parviflora Aiton", "Aiton", "Agrimonia parviflora", "species", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Sanguisorbeae;Agrimonia"
"Agrimonia pubescens", "Volume 9", "yes", "1", "1", "Agrimonia pubescens Wallroth", "Wallroth", "Agrimonia pubescens", "species", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Sanguisorbeae;Agrimonia"
"Agrimonia striata", "Volume 9", "yes", "1", "1", "Agrimonia striata Michaux", "Michaux", "Agrimonia striata", "species", "FNA Editorial Committee. 2014. Flora of North America north of Mexico. Volume 9: Magnoliophyta: Picramniaceae to Rosaceae. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Rosanae;Rosales;Rosaceae;Rosoideae;Sanguisorbeae;Agrimonia"
"Agropyron", "Volume 24", "yes", "4", "1", "Agropyron Gaertner", "Gaertner", "Agropyron", "genus", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae"
"Agropyron", "Volume 24", "yes", "4", "2", "Elymus trachycaulus (Link) Gould ex Shinners", "(Link) Gould ex Shinners", "Elymus trachycaulus", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae;Elymus"
"Agropyron", "Volume 24", "yes", "4", "3", "Agropyron cristatum (Linnaeus) Gaertner", "(Linnaeus) Gaertner", "Agropyron cristatum", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae;Agropyron"
"Agropyron", "Volume 24", "yes", "4", "4", "Elymus repens (Linnaeus)  Gould", "(Linnaeus)  Gould", "Elymus repens", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae;Elymus"
"Agropyron cristatum", "Volume 24", "yes", "1", "1", "Agropyron cristatum (Linnaeus) Gaertner", "(Linnaeus) Gaertner", "Agropyron cristatum", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Triticeae;Hordeinae;Agropyron"
"Agrostemma githago var. githago", "Volume 5", "yes", "1", "1", "Agrostemma githago Linnaeus var. githago", "Linnaeus", "Agrostemma githago var. githago", "variety", "FNA Editorial Committee. 2005. Flora of North America north of Mexico. Volume 5: Magnoliophyta: Caryophyllidae, part 2. Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Caryophyllanae;Caryophyllales;Caryophyllaceae;Sileneae;Agrostemma;Agrostemma githago"
"Agrostis", "Volume 24", "yes", "11", "1", "Agrostis Linnaeus", "Linnaeus", "Agrostis", "genus", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae"
"Agrostis", "Volume 24", "yes", "11", "2", "Apera interrupta (Linnaeus) P. Beauvois", "(Linnaeus) P. Beauvois", "Apera interrupta", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Poinae;Apera"
"Agrostis", "Volume 24", "yes", "11", "3", "Agrostis gigantea Roth", "Roth", "Agrostis gigantea", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis", "Volume 24", "yes", "11", "4", "Agrostis capillaris Linnaeus", "Linnaeus", "Agrostis capillaris", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis", "Volume 24", "yes", "11", "5", "Agrostis canina Linnaeus nom. cons.", "Linnaeus nom. cons.", "Agrostis canina", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis", "Volume 24", "yes", "11", "6", "Agrostis vinealis Schreber", "Schreber", "Agrostis vinealis", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis", "Volume 24", "yes", "11", "7", "Apera spica-venti (Linnaeus) P. Beauvois", "(Linnaeus) P. Beauvois", "Apera spica-venti", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Poinae;Apera"
"Agrostis", "Volume 24", "yes", "11", "8", "Agrostis perennans (Walter) Tuckerman", "(Walter) Tuckerman", "Agrostis perennans", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis", "Volume 24", "yes", "11", "9", "Agrostis scabra Willdenow", "Willdenow", "Agrostis scabra", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis", "Volume 24", "yes", "11", "10", "Agrostis stolonifera Linnaeus", "Linnaeus", "Agrostis stolonifera", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
"Agrostis", "Volume 24", "yes", "11", "11", "Coleataenia rigidula (Bosc ex Nees) LeBlond", "(Bosc ex Nees) LeBlond", "Coleataenia rigidula", "species", "Missouri Botanical Garden. 2011+. Tropicos.org.  www.tropicos.org", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Panicoideae;Paniceae;Panicinae;Coleataenia"
"Agrostis anadyrensis", "Volume 24", "no", "0", "1", NA, "NULL", "NULL", "NULL", "NULL", "NULL", "NULL"
"Agrostis capillaris", "Volume 24", "yes", "1", "1", "Agrostis capillaris Linnaeus", "Linnaeus", "Agrostis capillaris", "species", "FNA Editorial Committee. 2007. Flora of North America north of Mexico. Volume 24: Poaceae (part 1). Oxford University Press, New York.", "accepted", "Equisetopsida;Magnoliidae;Lilianae;Poales;Poaceae;Pooideae;Poeae;Agrostidinae;Agrostis"
