"Taxon Name", "Synonym", "Name According to"
"Acroptilon repens", "Rhaponticum repens (Linnaeus) Hidalgo", "Susanna, A. & N. Garcia-Jacas. 2007. Tribe Cardueae Cass. (1819). pp. 123-147 in J.W. Kadereit & C. Jeffrey (eds.), The Families and Genera of Vascular Plants (K. Kubitzki, ser. ed.), VIII. Flowering Plants - Eudicots. Asterales. Springer Verlag, Berlin."
"Alnus viridis subsp. crispa", "Alnus alnobetula subsp. crispa (Aiton) Raus", "Greuter, W. & E. Von Raab-Straube. 2011. Euro+Med Notulae 5. Willdenowia 41: 129-138"
"Alyssum murale", "Odontarrhena muralis (Waldstein & Kitaibel) Endlicher", "Koch, M.A., M. Kiefer et alii. 2017+. BrassiBase v. 1.2. http://brassibase.cos.uni-heidelberg.de/"
"Amerorchis rotundifolia", "Galearis rotundifolia (Banks ex Pursh) R.M. Bateman", "Bateman, R.M., K.E. James, Y.-B. Luo, R.K. Lauri, T. Fulcher, P.J. Cribb & M.W. Chase. 2009. Molecular phylogenetics and morphological reappraisal of the Platanthera clade (Orchidaceae: Orchidinae) prompts expansion of the generic limits of Galearis and Platanthera. Annals of Botany 104: 431-445"
"Ammophila", "Oenothera oakesiana (A. Gray) J.W. Robbins ex S. Watson", "FNA Editorial Committee. in prep. Flora of North America north of Mexico. Volume 10. Magnoliophyta: Rosidae to Elaeagnaceae. Oxford University Press, New York."
"Ammophila", "Oenothera oakesiana (A. Gray) J.W. Robbins ex S. Watson", "FNA Editorial Committee. in prep. Flora of North America north of Mexico. Volume 10. Magnoliophyta: Rosidae to Elaeagnaceae. Oxford University Press, New York."
"Ammophila", "Oenothera oakesiana (A. Gray) J.W. Robbins ex S. Watson", "FNA Editorial Committee. in prep. Flora of North America north of Mexico. Volume 10. Magnoliophyta: Rosidae to Elaeagnaceae. Oxford University Press, New York."
"Ammophila breviligulata", "Calamagrostis breviligulata (Fernald) Saarela subsp. breviligulata", "Saarela, J.M., R.D. Bull, M.J. Paradis, S.N. Ebata, P.M. Peterson, R.J. Soreng & B. Paszko. 2017. Molecular phylogenetics of cool-season grasses in the subtribes Agrostidinae,Anthoxanthinae,Aveninae, Brizinae, Calothecinae, Koeleriinae and Phalaridinae (Poaceae, Pooideae, Poeae, Poeae chloroplast group 1). PhytoKeys 87: 1-139"
"Anagallis arvensis", "Lysimachia arvensis (Linnaeus) U. Manns & Anderberg", "Manns, U. & A.A. Anderberg. 2014. New combinations and names in Lysimachia (Myrsinaceae) for species of Anagallis, Pelletiera and Trientalis. Willdenowia 39: 49-54"
"Anemone acutiloba", "Hepatica acutiloba de Candolle", "Mosyakin, S.L. 2016. Nomenclatural notes on North American taxa of Anemonastrum and Pulsatilla (Ranunculaceae), with comments on the circumscription of Anemone and related genera. Phytoneuron 2016-79: 1–12"
