"","Volume","Taxon name"
"Achillea millefolium","Volume 19","Achillea millefolium"
"Agrostis","Volume 24","Agrostis"
"Agrostis anadyrensis","Volume 24","Agrostis anadyrensis"
"Agrostis canina","Volume 24","Agrostis canina"
"Agrostis capillaris","Volume 24","Agrostis capillaris"
"Agrostis mertensii","Volume 24","Agrostis mertensii"
"Agrostis nebulosa","Volume 24","Agrostis nebulosa"
"Agrostis scabra","Volume 24","Agrostis scabra"
"Agrostis stolonifera","Volume 24","Agrostis stolonifera"
"Agrostis tolucensis","Volume 24","Agrostis tolucensis"
"Alchemilla filicaulis subsp. filicaulis","Volume 9","Alchemilla filicaulis subsp. filicaulis"
"Alchemilla filicaulis subsp. vestita","Volume 9","Alchemilla filicaulis subsp. vestita"
"Alisma triviale","Volume 22","Alisma triviale"
"Allium schoenoprasum","Volume 26","Allium schoenoprasum"
"Alopecurus","Volume 24","Alopecurus"
"Alopecurus aequalis","Volume 24","Alopecurus aequalis"
"Alopecurus aequalis var. aequalis","Volume 24","Alopecurus aequalis var. aequalis"
"Alopecurus geniculatus","Volume 24","Alopecurus geniculatus"
"Alopecurus pratensis","Volume 24","Alopecurus pratensis"
"Amaranthus albus","Volume 4","Amaranthus albus"
"Amaranthus retroflexus","Volume 4","Amaranthus retroflexus"
"Amblystegium serpens","Volume 28","Amblystegium serpens"
"Amelanchier bartramiana","Volume 9","Amelanchier bartramiana"
"Amerorchis rotundifolia","Volume 26","Amerorchis rotundifolia"
"Ammophila","Volume 24","Ammophila"
"Ammophila breviligulata","Volume 24","Ammophila breviligulata"
"Ammophila breviligulata subsp. breviligulata","Volume 24","Ammophila breviligulata subsp. breviligulata"
"Ammophila breviligulata subsp. champlainensis","Volume 24","Ammophila breviligulata subsp. champlainensis"
"Amphidium lapponicum","Volume 28","Amphidium lapponicum"
"Amphidium mougeotii","Volume 28","Amphidium mougeotii"
"Anaphalis margaritacea","Volume 19","Anaphalis margaritacea"
"Andreaea blyttii","Volume 27","Andreaea blyttii"
"Andreaea rothii","Volume 27","Andreaea rothii"
"Andreaea rupestris","Volume 27","Andreaea rupestris"
"Andromeda polifolia var. latifolia","Volume 8","Andromeda polifolia var. latifolia"
"Andromeda polifolia var. polifolia","Volume 8","Andromeda polifolia var. polifolia"
"Anomobryum concinnatum","Volume 28","Anomobryum concinnatum"
"Antennaria alpina","Volume 19","Antennaria alpina"
"Antennaria friesiana","Volume 19","Antennaria friesiana"
"Antennaria monocephala","Volume 19","Antennaria monocephala"
"Antennaria rosea","Volume 19","Antennaria rosea"
"Antennaria rosea subsp. pulvinata","Volume 19","Antennaria rosea subsp. pulvinata"
"Anthoxanthum","Volume 24","Anthoxanthum"
"Anthoxanthum arcticum","Volume 24","Anthoxanthum arcticum"
"Anthoxanthum hirtum","Volume 24","Anthoxanthum hirtum"
"Anthoxanthum monticola","Volume 24","Anthoxanthum monticola"
"Anthoxanthum monticola subsp. alpinum","Volume 24","Anthoxanthum monticola subsp. alpinum"
"Anthoxanthum monticola subsp. monticola","Volume 24","Anthoxanthum monticola subsp. monticola"
"Anthoxanthum nitens","Volume 24","Anthoxanthum nitens"
"Anthoxanthum occidentale","Volume 24","Anthoxanthum occidentale"
"Antitrichia curtipendula","Volume 28","Antitrichia curtipendula"
"Arabis alpina","Volume 7","Arabis alpina"
"Arabis pycnocarpa","Volume 7","Arabis pycnocarpa"
"Arctostaphylos uva-ursi","Volume 8","Arctostaphylos uva-ursi"
"Arctous alpina","Volume 8","Arctous alpina"
"Arenaria humifusa","Volume 5","Arenaria humifusa"
"Armeria maritima subsp. sibirica","Volume 5","Armeria maritima subsp. sibirica"
"Arnica angustifolia subsp. angustifolia","Volume 21","Arnica angustifolia subsp. angustifolia"
"Artemisia campestris subsp. canadensis","Volume 19","Artemisia campestris subsp. canadensis"
"Asparagus officinalis","Volume 26","Asparagus officinalis"
"Atriplex glabriuscula var. glabriuscula","Volume 4","Atriplex glabriuscula var. glabriuscula"
"Aulacomnium palustre","Volume 28","Aulacomnium palustre"
"Aulacomnium turgidum","Volume 28","Aulacomnium turgidum"
"Barbarea orthoceras","Volume 7","Barbarea orthoceras"
"Barbarea vulgaris","Volume 7","Barbarea vulgaris"
"Bartramia ithyphylla","Volume 28","Bartramia ithyphylla"
"Bartramia pomiformis","Volume 28","Bartramia pomiformis"
"Bartsia alpina","Volume 17","Bartsia alpina"
"Blysmopsis rufa","Volume 23","Blysmopsis rufa"
