"","Volume","Taxon name"
"Abies balsamea","Volume 2","Abies balsamea"
"Abietinella abietina","Volume 28","Abietinella abietina"
"Acalypha rhomboidea","Volume 12","Acalypha rhomboidea"
"Achillea millefolium","Volume 19","Achillea millefolium"
"Achillea ptarmica","Volume 19","Achillea ptarmica"
"Acorus americanus","Volume 22","Acorus americanus"
"Acorus calamus","Volume 22","Acorus calamus"
"Actaea pachypoda","Volume 3","Actaea pachypoda"
"Actaea rubra","Volume 3","Actaea rubra"
"Adiantum pedatum","Volume 2","Adiantum pedatum"
"Adlumia fungosa","Volume 3","Adlumia fungosa"
"Agalinis maritima","Volume 17","Agalinis maritima"
"Agalinis maritima var. maritima","Volume 17","Agalinis maritima var. maritima"
"Agalinis neoscotica","Volume 17","Agalinis neoscotica"
"Agalinis purpurea","Volume 17","Agalinis purpurea"
"Agalinis purpurea var. parviflora","Volume 17","Agalinis purpurea var. parviflora"
"Agalinis tenuifolia","Volume 17","Agalinis tenuifolia"
"Ageratina altissima","Volume 21","Ageratina altissima"
"Ageratina altissima var. altissima","Volume 21","Ageratina altissima var. altissima"
"Agrimonia gryposepala","Volume 9","Agrimonia gryposepala"
"Agrimonia striata","Volume 9","Agrimonia striata"
"Agropyron","Volume 24","Agropyron"
"Agropyron cristatum","Volume 24","Agropyron cristatum"
"Agrostis","Volume 24","Agrostis"
"Agrostis anadyrensis","Volume 24","Agrostis anadyrensis"
"Agrostis canina","Volume 24","Agrostis canina"
"Agrostis capillaris","Volume 24","Agrostis capillaris"
"Agrostis gigantea","Volume 24","Agrostis gigantea"
"Agrostis nebulosa","Volume 24","Agrostis nebulosa"
"Agrostis perennans","Volume 24","Agrostis perennans"
"Agrostis scabra","Volume 24","Agrostis scabra"
"Agrostis stolonifera","Volume 24","Agrostis stolonifera"
"Agrostis tolucensis","Volume 24","Agrostis tolucensis"
"Aira","Volume 24","Aira"
"Aira caryophyllea","Volume 24","Aira caryophyllea"
"Aira caryophyllea var. capillaris","Volume 24","Aira caryophyllea var. capillaris"
"Aira caryophyllea var. caryophyllea","Volume 24","Aira caryophyllea var. caryophyllea"
"Aira praecox","Volume 24","Aira praecox"
"Alchemilla filicaulis","Volume 9","Alchemilla filicaulis"
"Alchemilla filicaulis subsp. filicaulis","Volume 9","Alchemilla filicaulis subsp. filicaulis"
"Alchemilla filicaulis subsp. vestita","Volume 9","Alchemilla filicaulis subsp. vestita"
"Alchemilla micans","Volume 9","Alchemilla micans"
"Alchemilla monticola","Volume 9","Alchemilla monticola"
"Alchemilla venosa","Volume 9","Alchemilla venosa"
"Alchemilla xanthochlora","Volume 9","Alchemilla xanthochlora"
"Alisma triviale","Volume 22","Alisma triviale"
