"","Volume","Taxon name"
"Braya glabella subsp. prostrata","Volume 7","Braya glabella subsp. prostrata"
"Braya humilis subsp. ellesmerensis","Volume 7","Braya humilis subsp. ellesmerensis"
"Braya thorild-wulffii subsp. glabrata","Volume 7","Braya thorild-wulffii subsp. glabrata"
"Braya thorild-wulffii subsp. thorild-wulffii","Volume 7","Braya thorild-wulffii subsp. thorild-wulffii"
"Calliergon orbicularicordatum","Volume 28","Calliergon orbicularicordatum"
"Draba arctogena","Volume 7","Draba arctogena"
"Draba simmonsii","Volume 7","Draba simmonsii"
"Rumex subarcticus","Volume 5","Rumex subarcticus"
"Silene sorensenis","Volume 5","Silene sorensenis"
"Taraxacum holmenianum","Volume 19","Taraxacum holmenianum"
"Tortula cuneifolia var. blissii","Volume 27","Tortula cuneifolia var. blissii"
