"","Volume","Taxon name"
"Abies balsamea","Volume 2","Abies balsamea"
"Abietinella abietina","Volume 28","Abietinella abietina"
"Abutilon theophrasti","Volume 6","Abutilon theophrasti"
"Acalypha rhomboidea","Volume 12","Acalypha rhomboidea"
"Acanthospermum hispidum","Volume 21","Acanthospermum hispidum"
"Acaulon muticum var. rufescens","Volume 27","Acaulon muticum var. rufescens"
"Acaulon triquetrum","Volume 27","Acaulon triquetrum"
"Achillea alpina","Volume 19","Achillea alpina"
"Achillea millefolium","Volume 19","Achillea millefolium"
"Achillea ptarmica","Volume 19","Achillea ptarmica"
"Acorus americanus","Volume 22","Acorus americanus"
"Acorus calamus","Volume 22","Acorus calamus"
"Acroptilon repens","Volume 19","Acroptilon repens"
"Actaea pachypoda","Volume 3","Actaea pachypoda"
"Actaea rubra","Volume 3","Actaea rubra"
"Adenocaulon bicolor","Volume 19","Adenocaulon bicolor"
"Adiantum pedatum","Volume 2","Adiantum pedatum"
"Adlumia fungosa","Volume 3","Adlumia fungosa"
"Agalinis gattingeri","Volume 17","Agalinis gattingeri"
"Agalinis purpurea","Volume 17","Agalinis purpurea"
"Agalinis purpurea var. parviflora","Volume 17","Agalinis purpurea var. parviflora"
"Agalinis purpurea var. purpurea","Volume 17","Agalinis purpurea var. purpurea"
"Agalinis skinneriana","Volume 17","Agalinis skinneriana"
"Agalinis tenuifolia","Volume 17","Agalinis tenuifolia"
"Ageratina altissima","Volume 21","Ageratina altissima"
"Ageratina altissima var. altissima","Volume 21","Ageratina altissima var. altissima"
"Agoseris glauca","Volume 19","Agoseris glauca"
"Agoseris glauca var. glauca","Volume 19","Agoseris glauca var. glauca"
"Agrimonia gryposepala","Volume 9","Agrimonia gryposepala"
"Agrimonia parviflora","Volume 9","Agrimonia parviflora"
"Agrimonia pubescens","Volume 9","Agrimonia pubescens"
"Agrimonia striata","Volume 9","Agrimonia striata"
"Agropyron","Volume 24","Agropyron"
"Agropyron cristatum","Volume 24","Agropyron cristatum"
"Agrostemma githago var. githago","Volume 5","Agrostemma githago var. githago"
"Agrostis","Volume 24","Agrostis"
"Agrostis anadyrensis","Volume 24","Agrostis anadyrensis"
"Agrostis capillaris","Volume 24","Agrostis capillaris"
"Agrostis gigantea","Volume 24","Agrostis gigantea"
"Agrostis hyemalis","Volume 24","Agrostis hyemalis"
"Agrostis mertensii","Volume 24","Agrostis mertensii"
"Agrostis nebulosa","Volume 24","Agrostis nebulosa"
"Agrostis perennans","Volume 24","Agrostis perennans"
"Agrostis scabra","Volume 24","Agrostis scabra"
"Agrostis stolonifera","Volume 24","Agrostis stolonifera"
"Agrostis tolucensis","Volume 24","Agrostis tolucensis"
"Alcea rosea","Volume 6","Alcea rosea"
