"","Volume","Taxon name"
"Abies balsamea","Volume 2","Abies balsamea"
"Achillea millefolium","Volume 19","Achillea millefolium"
"Achillea ptarmica","Volume 19","Achillea ptarmica"
"Acorus americanus","Volume 22","Acorus americanus"
"Actaea pachypoda","Volume 3","Actaea pachypoda"
"Actaea rubra","Volume 3","Actaea rubra"
"Agalinis tenuifolia","Volume 17","Agalinis tenuifolia"
"Agrimonia gryposepala","Volume 9","Agrimonia gryposepala"
"Agrimonia striata","Volume 9","Agrimonia striata"
"Agrostemma githago var. githago","Volume 5","Agrostemma githago var. githago"
"Agrostis","Volume 24","Agrostis"
"Agrostis anadyrensis","Volume 24","Agrostis anadyrensis"
"Agrostis canina","Volume 24","Agrostis canina"
"Agrostis capillaris","Volume 24","Agrostis capillaris"
"Agrostis gigantea","Volume 24","Agrostis gigantea"
"Agrostis nebulosa","Volume 24","Agrostis nebulosa"
"Agrostis perennans","Volume 24","Agrostis perennans"
"Agrostis scabra","Volume 24","Agrostis scabra"
"Agrostis stolonifera","Volume 24","Agrostis stolonifera"
"Agrostis tolucensis","Volume 24","Agrostis tolucensis"
"Alisma triviale","Volume 22","Alisma triviale"
"Allium schoenoprasum","Volume 26","Allium schoenoprasum"
"Alnus incana","Volume 3","Alnus incana"
"Alnus incana subsp. rugosa","Volume 3","Alnus incana subsp. rugosa"
"Alnus viridis","Volume 3","Alnus viridis"
"Alnus viridis subsp. crispa","Volume 3","Alnus viridis subsp. crispa"
"Alopecurus","Volume 24","Alopecurus"
"Alopecurus aequalis","Volume 24","Alopecurus aequalis"
"Alopecurus aequalis var. aequalis","Volume 24","Alopecurus aequalis var. aequalis"
"Alopecurus geniculatus","Volume 24","Alopecurus geniculatus"
"Alopecurus pratensis","Volume 24","Alopecurus pratensis"
"Amaranthus albus","Volume 4","Amaranthus albus"
"Amaranthus powellii","Volume 4","Amaranthus powellii"
"Amaranthus retroflexus","Volume 4","Amaranthus retroflexus"
"Amaranthus tuberculatus","Volume 4","Amaranthus tuberculatus"
"Amblystegium serpens","Volume 28","Amblystegium serpens"
"Ambrosia artemisiifolia","Volume 21","Ambrosia artemisiifolia"
"Ambrosia psilostachya","Volume 21","Ambrosia psilostachya"
"Ambrosia trifida","Volume 21","Ambrosia trifida"
"Amelanchier bartramiana","Volume 9","Amelanchier bartramiana"
"Amelanchier canadensis","Volume 9","Amelanchier canadensis"
"Amelanchier canadensis var. canadensis","Volume 9","Amelanchier canadensis var. canadensis"
"Amelanchier fernaldii","Volume 9","Amelanchier fernaldii"
"Amelanchier interior","Volume 9","Amelanchier interior"
"Amelanchier intermedia","Volume 9","Amelanchier intermedia"
"Amelanchier laevis","Volume 9","Amelanchier laevis"
"Amelanchier spicata","Volume 9","Amelanchier spicata"
"Ammophila","Volume 24","Ammophila"
"Ammophila breviligulata","Volume 24","Ammophila breviligulata"
"Ammophila breviligulata subsp. breviligulata","Volume 24","Ammophila breviligulata subsp. breviligulata"
"Ammophila breviligulata subsp. champlainensis","Volume 24","Ammophila breviligulata subsp. champlainensis"
"Anaphalis margaritacea","Volume 19","Anaphalis margaritacea"
"Andromeda polifolia","Volume 8","Andromeda polifolia"
"Andromeda polifolia var. latifolia","Volume 8","Andromeda polifolia var. latifolia"
"Anemone canadensis","Volume 3","Anemone canadensis"
"Anomodon attenuatus","Volume 28","Anomodon attenuatus"
"Antennaria howellii","Volume 19","Antennaria howellii"
"Antennaria howellii subsp. canadensis","Volume 19","Antennaria howellii subsp. canadensis"
"Antennaria howellii subsp. neodioica","Volume 19","Antennaria howellii subsp. neodioica"
"Antennaria howellii subsp. petaloidea","Volume 19","Antennaria howellii subsp. petaloidea"
"Anthemis arvensis","Volume 19","Anthemis arvensis"
"Anthemis cotula","Volume 19","Anthemis cotula"
"Anthoxanthum","Volume 24","Anthoxanthum"
"Anthoxanthum arcticum","Volume 24","Anthoxanthum arcticum"
"Anthoxanthum hirtum","Volume 24","Anthoxanthum hirtum"
"Anthoxanthum nitens","Volume 24","Anthoxanthum nitens"
"Anthoxanthum occidentale","Volume 24","Anthoxanthum occidentale"
"Anthoxanthum odoratum","Volume 24","Anthoxanthum odoratum"
"Aquilegia vulgaris","Volume 3","Aquilegia vulgaris"
"Arceuthobium pusillum","Volume 12","Arceuthobium pusillum"
"Arctium minus","Volume 19","Arctium minus"
"Arctium tomentosum","Volume 19","Arctium tomentosum"
"Arctostaphylos uva-ursi","Volume 8","Arctostaphylos uva-ursi"
"Arenaria humifusa","Volume 5","Arenaria humifusa"
"Arenaria serpyllifolia","Volume 5","Arenaria serpyllifolia"
"Arenaria serpyllifolia var. serpyllifolia","Volume 5","Arenaria serpyllifolia var. serpyllifolia"
