"","Volume","Taxon name"
"Abies balsamea","Volume 2","Abies balsamea"
"Abietinella abietina","Volume 28","Abietinella abietina"
"Acalypha rhomboidea","Volume 12","Acalypha rhomboidea"
"Acaulon muticum var. rufescens","Volume 27","Acaulon muticum var. rufescens"
"Achillea alpina","Volume 19","Achillea alpina"
"Achillea millefolium","Volume 19","Achillea millefolium"
"Achillea ptarmica","Volume 19","Achillea ptarmica"
"Acorus americanus","Volume 22","Acorus americanus"
"Acorus calamus","Volume 22","Acorus calamus"
"Actaea pachypoda","Volume 3","Actaea pachypoda"
"Actaea rubra","Volume 3","Actaea rubra"
"Adiantum aleuticum","Volume 2","Adiantum aleuticum"
"Adiantum pedatum","Volume 2","Adiantum pedatum"
"Adlumia fungosa","Volume 3","Adlumia fungosa"
"Agalinis purpurea","Volume 17","Agalinis purpurea"
"Agalinis purpurea var. parviflora","Volume 17","Agalinis purpurea var. parviflora"
"Agalinis tenuifolia","Volume 17","Agalinis tenuifolia"
"Ageratina altissima","Volume 21","Ageratina altissima"
"Ageratina altissima var. altissima","Volume 21","Ageratina altissima var. altissima"
"Agoseris aurantiaca","Volume 19","Agoseris aurantiaca"
"Agoseris aurantiaca var. aurantiaca","Volume 19","Agoseris aurantiaca var. aurantiaca"
"Agrimonia gryposepala","Volume 9","Agrimonia gryposepala"
"Agrimonia pubescens","Volume 9","Agrimonia pubescens"
"Agrimonia striata","Volume 9","Agrimonia striata"
"Agropyron","Volume 24","Agropyron"
"Agropyron cristatum","Volume 24","Agropyron cristatum"
"Agrostemma githago var. githago","Volume 5","Agrostemma githago var. githago"
"Agrostis","Volume 24","Agrostis"
"Agrostis anadyrensis","Volume 24","Agrostis anadyrensis"
"Agrostis canina","Volume 24","Agrostis canina"
"Agrostis capillaris","Volume 24","Agrostis capillaris"
"Agrostis gigantea","Volume 24","Agrostis gigantea"
"Agrostis mertensii","Volume 24","Agrostis mertensii"
"Agrostis nebulosa","Volume 24","Agrostis nebulosa"
"Agrostis perennans","Volume 24","Agrostis perennans"
"Agrostis scabra","Volume 24","Agrostis scabra"
"Agrostis stolonifera","Volume 24","Agrostis stolonifera"
"Agrostis tolucensis","Volume 24","Agrostis tolucensis"
"Alcea rosea","Volume 6","Alcea rosea"
"Alchemilla filicaulis","Volume 9","Alchemilla filicaulis"
"Alchemilla filicaulis subsp. filicaulis","Volume 9","Alchemilla filicaulis subsp. filicaulis"
"Alchemilla filicaulis subsp. vestita","Volume 9","Alchemilla filicaulis subsp. vestita"
"Alchemilla glabra","Volume 9","Alchemilla glabra"
"Alchemilla glaucescens","Volume 9","Alchemilla glaucescens"
"Alchemilla glomerulans","Volume 9","Alchemilla glomerulans"
"Alchemilla micans","Volume 9","Alchemilla micans"
