"","Volume","Taxon name"
"Castilleja miniata var. fulva","Volume 17","Castilleja miniata var. fulva"
"Claytonia ogilviensis","Volume 4","Claytonia ogilviensis"
"Draba kluanei","Volume 7","Draba kluanei"
"Draba scotteri","Volume 7","Draba scotteri"
"Draba yukonensis","Volume 7","Draba yukonensis"
"Micranthes nelsoniana var. carlottae","Volume 8","Micranthes nelsoniana var. carlottae"
"Nestotus macleanii","Volume 20","Nestotus macleanii"
"Parrya arctica","Volume 7","Parrya arctica"
"Salix raupii","Volume 7","Salix raupii"
"Senecio sheldonensis","Volume 20","Senecio sheldonensis"
