"x"
"Abies balsamea"
"Abietinella abietina"
"Acalypha rhomboidea"
"Achillea millefolium"
"Achillea ptarmica"
"Acorus americanus"
"Acorus calamus"
"Actaea pachypoda"
"Actaea rubra"
"Adiantum pedatum"
"Adlumia fungosa"
"Agalinis neoscotica"
"Agalinis purpurea"
"Agalinis purpurea var. parviflora"
"Agalinis tenuifolia"
"Ageratina altissima"
"Ageratina altissima var. altissima"
"Agrimonia gryposepala"
"Agrimonia striata"
"Agrostemma githago var. githago"
"Agrostis"
"Agrostis anadyrensis"
"Agrostis canina"
"Agrostis capillaris"
"Agrostis gigantea"
"Agrostis mertensii"
"Agrostis nebulosa"
"Agrostis perennans"
"Agrostis scabra"
"Agrostis stolonifera"
"Agrostis tolucensis"
"Alcea rosea"
"Alchemilla filicaulis"
"Alchemilla filicaulis subsp. filicaulis"
"Alchemilla filicaulis subsp. vestita"
"Alchemilla glabra"
"Alchemilla venosa"
"Alchemilla xanthochlora"
"Alisma subcordatum"
"Alisma triviale"
"Allium canadense var. canadense"
"Allium schoenoprasum"
"Allium tricoccum var. tricoccum"
"Alnus incana"
"Alnus incana subsp. rugosa"
"Alnus viridis"
"Alnus viridis subsp. crispa"
"Aloina rigida var. rigida"
"Alopecurus"
"Alopecurus aequalis"
"Alopecurus aequalis var. aequalis"
"Alopecurus geniculatus"
"Alopecurus pratensis"
"Althaea officinalis"
"Amaranthus albus"
"Amaranthus retroflexus"
"Amblystegium serpens"
"Ambrosia artemisiifolia"
"Ambrosia trifida"
"Amelanchier arborea"
"Amelanchier bartramiana"
"Amelanchier canadensis"
"Amelanchier canadensis var. canadensis"
"Amelanchier fernaldii"
"Amelanchier interior"
"Amelanchier intermedia"
"Amelanchier laevis"
"Amelanchier sanguinea"
"Amelanchier spicata"
"Amerorchis rotundifolia"
"Ammophila"
"Ammophila breviligulata"
"Ammophila breviligulata subsp. breviligulata"
"Ammophila breviligulata subsp. champlainensis"
"Amphidium lapponicum"
"Amphidium mougeotii"
"Anagallis arvensis"
"Anaphalis margaritacea"
"Andreaea rothii"
"Andreaea rupestris"
"Andromeda polifolia"
"Andromeda polifolia var. latifolia"
"Anemone americana"
"Anemone canadensis"
"Anemone multifida"
"Anemone multifida var. multifida"
"Anemone parviflora"
"Anemone quinquefolia"
"Anemone quinquefolia var. quinquefolia"
"Anemone virginiana"
"Anemone virginiana var. alba"
"Anemone virginiana var. cylindroidea"
"Anomobryum concinnatum"
"Anomodon attenuatus"
"Anomodon minor"
"Anomodon rostratus"
"Anomodon rugelii"
"Anomodon tristis"
"Anomodon viticulosus"
"Antennaria howellii"
"Antennaria howellii subsp. canadensis"
"Antennaria howellii subsp. neodioica"
"Antennaria howellii subsp. petaloidea"
"Antennaria parlinii"
"Antennaria parlinii subsp. fallax"
"Antennaria parlinii subsp. parlinii"
"Antennaria plantaginifolia"
"Anthemis arvensis"
"Anthemis cotula"
"Anthoxanthum"
"Anthoxanthum arcticum"
"Anthoxanthum hirtum"
"Anthoxanthum nitens"
"Anthoxanthum occidentale"
"Anthoxanthum odoratum"
"Aquilegia vulgaris"
"Arabis caucasica"
"Arabis pycnocarpa"
"Arabis pycnocarpa var. pycnocarpa"
"Arceuthobium pusillum"
"Arctium lappa"
"Arctium minus"
"Arctium tomentosum"
"Arctoa fulvella"
"Arctostaphylos uva-ursi"
"Arenaria serpyllifolia"
"Arenaria serpyllifolia var. serpyllifolia"
"Arethusa bulbosa"
"Arisaema triphyllum"
"Armoracia rusticana"
"Arnica lanceolata"
"Arnica lanceolata subsp. lanceolata"
"Arnica lonchophylla"
"Aronia arbutifolia"
"Aronia melanocarpa"
"Arrhenatherum"
"Arrhenatherum elatius"
"Artemisia abrotanum"
"Artemisia absinthium"
"Artemisia annua"
"Artemisia biennis"
"Artemisia campestris"
"Artemisia campestris subsp. canadensis"
"Artemisia frigida"
"Artemisia ludoviciana"
"Artemisia ludoviciana subsp. ludoviciana"
"Artemisia stelleriana"
"Artemisia vulgaris"
"Asarum canadense"
"Asparagus officinalis"
"Asplenium trichomanes"
"Asplenium trichomanes subsp. trichomanes"
"Asplenium trichomanes-ramosum"
"Athyrium filix-femina"
"Athyrium filix-femina var. angustum"
"Atrichum altecristatum"
"Atrichum angustatum"
"Atrichum crispulum"
"Atrichum crispum"
"Atrichum tenellum"
"Atrichum undulatum"
"Atriplex glabriuscula"
"Atriplex glabriuscula var. acadiensis"
"Atriplex glabriuscula var. franktonii"
"Atriplex glabriuscula var. glabriuscula"
"Atriplex laciniata"
"Atriplex littoralis"
"Atriplex patula"
"Atriplex prostrata"
"Aulacomnium androgynum"
"Aulacomnium palustre"
"Avena"
"Avena fatua"
"Avena sativa"
"Axyris amaranthoides"
"Barbarea orthoceras"
"Barbarea vulgaris"
"Barbula convoluta var. convoluta"
"Barbula unguiculata"
"Bartramia ithyphylla"
"Bartramia pomiformis"
"Beckmannia"
"Beckmannia syzigachne"
"Bellis perennis"
"Berberis thunbergii"
"Berberis vulgaris"
"Berteroa incana"
"Betula alleghaniensis"
"Betula cordifolia"
"Betula glandulosa"
"Betula minor"
"Betula papyrifera"
"Betula populifolia"
"Betula pumila"
"Bidens beckii"
"Bidens bipinnata"
"Bidens cernua"
"Bidens connata"
"Bidens discoidea"
"Bidens eatonii"
"Bidens frondosa"
"Bidens heterodoxa"
"Bidens hyperborea"
"Bidens vulgata"
"Bistorta vivipara"
"Blindia acuta"
"Blysmopsis rufa"
"Boehmeria cylindrica"
"Bolboschoenus fluviatilis"
"Bolboschoenus maritimus"
"Bolboschoenus maritimus subsp. maritimus"
"Bolboschoenus maritimus subsp. paludosus"
"Botrychium dissectum"
"Botrychium lanceolatum"
"Botrychium lanceolatum subsp. angustisegmentum"
"Botrychium lunaria"
"Botrychium matricariifolium"
"Botrychium minganense"
"Botrychium multifidum"
"Botrychium oneidense"
"Botrychium simplex"
"Botrychium spathulatum"
"Botrychium virginianum"
"Brachyelytrum"
"Brachyelytrum aristosum"
"Brachyelytrum erectum"
"Brachytheciastrum velutinum var. velutinum"
"Brachythecium campestre"
"Brachythecium erythrorrhizon var. erythrorrhizon"
"Brachythecium laetum"
"Brachythecium rivulare"
"Brachythecium rotaeanum"
"Brachythecium rutabulum"
"Brachythecium salebrosum"
"Brasenia schreberi"
"Brassica juncea"
"Brassica napus"
"Brassica nigra"
"Brassica rapa"
"Bromus"
"Bromus caroli-henrici"
"Bromus ciliatus"
"Bromus commutatus"
"Bromus hallii"
"Bromus hordeaceus"
"Bromus hordeaceus subsp. hordeaceus"
"Bromus hordeaceus subsp. molliformis"
"Bromus hordeaceus subsp. pseudothominei"
"Bromus hordeaceus subsp. thominei"
"Bromus inermis"
"Bromus japonicus"
"Bromus latiglumis"
"Bromus pumpellianus"
"Bromus pumpellianus subsp. dicksonii"
"Bromus pumpellianus subsp. pumpellianus"
"Bromus racemosus"
"Bromus richardsonii"
"Bromus riparius"
"Bromus secalinus"
"Bromus sect. Bromopsis"
"Bromus sect. Bromus"
"Bromus sect. Ceratochloa"
"Bromus sect. Genea"
"Bromus sect. Neobromus"
"Bromus tectorum"
"Brotherella recurvans"
"Bryhnia novae-angliae"
"Bryoerythrophyllum recurvirostrum"
"Bryum argenteum var. argenteum"
"Bucklandiella microcarpa"
"Bucklandiella sudetica"
"Bucklandiella venusta"
"Bulbostylis capillaris"
"Bunias orientalis"
"Buxbaumia aphylla"
"Cakile edentula"
"Cakile edentula var. edentula"
"Calamagrostis"
"Calamagrostis canadensis"
"Calamagrostis canadensis var. canadensis"
"Calamagrostis canadensis var. macouniana"
"Calamagrostis cinnoides"
"Calamagrostis epigejos"
"Calamagrostis pickeringii"
"Calamagrostis stricta"
