"x"
"Achillea millefolium"
"Agrostis"
"Agrostis anadyrensis"
"Agrostis canina"
"Agrostis capillaris"
"Agrostis mertensii"
"Agrostis nebulosa"
"Agrostis scabra"
"Agrostis stolonifera"
"Agrostis tolucensis"
"Alchemilla filicaulis subsp. filicaulis"
"Alchemilla filicaulis subsp. vestita"
"Alisma triviale"
"Allium schoenoprasum"
"Alopecurus"
"Alopecurus aequalis"
"Alopecurus aequalis var. aequalis"
"Alopecurus geniculatus"
"Alopecurus pratensis"
"Amaranthus albus"
"Amaranthus retroflexus"
"Amblystegium serpens"
"Amelanchier bartramiana"
"Amerorchis rotundifolia"
"Ammophila"
"Ammophila breviligulata"
"Ammophila breviligulata subsp. breviligulata"
"Ammophila breviligulata subsp. champlainensis"
"Amphidium lapponicum"
"Amphidium mougeotii"
"Anaphalis margaritacea"
"Andreaea blyttii"
"Andreaea rothii"
"Andreaea rupestris"
"Andromeda polifolia var. latifolia"
"Andromeda polifolia var. polifolia"
"Anomobryum concinnatum"
"Antennaria alpina"
"Antennaria friesiana"
"Antennaria monocephala"
"Antennaria rosea"
"Antennaria rosea subsp. pulvinata"
"Anthoxanthum"
"Anthoxanthum arcticum"
"Anthoxanthum hirtum"
"Anthoxanthum monticola"
"Anthoxanthum monticola subsp. alpinum"
"Anthoxanthum monticola subsp. monticola"
"Anthoxanthum nitens"
"Anthoxanthum occidentale"
"Antitrichia curtipendula"
"Arabis alpina"
"Arabis pycnocarpa"
"Arctostaphylos uva-ursi"
"Arctous alpina"
"Arenaria humifusa"
"Armeria maritima subsp. sibirica"
"Arnica angustifolia subsp. angustifolia"
"Artemisia campestris subsp. canadensis"
"Asparagus officinalis"
"Atriplex glabriuscula var. glabriuscula"
"Aulacomnium palustre"
"Aulacomnium turgidum"
"Barbarea orthoceras"
"Barbarea vulgaris"
"Bartramia ithyphylla"
"Bartramia pomiformis"
"Bartsia alpina"
"Blysmopsis rufa"
"Brachytheciastrum velutinum var. velutinum"
"Brachythecium albicans"
"Brachythecium erythrorrhizon var. erythrorrhizon"
"Brachythecium laetum"
"Brachythecium rivulare"
"Brachythecium rutabulum"
"Brachythecium turgidum"
"Brassica juncea"
"Brassica napus"
"Brassica nigra"
"Brassica oleracea"
"Brassica rapa"
"Bromus"
"Bromus caroli-henrici"
"Bromus ciliatus"
"Bromus commutatus"
"Bromus hallii"
"Bromus inermis"
"Bromus japonicus"
"Bromus pumpellianus"
"Bromus pumpellianus subsp. dicksonii"
"Bromus pumpellianus subsp. pumpellianus"
"Bromus richardsonii"
"Bromus riparius"
"Bromus sect. Bromopsis"
"Bromus sect. Bromus"
"Bromus sect. Ceratochloa"
"Bromus sect. Genea"
"Bromus sect. Neobromus"
"Bryhnia graminicolor"
"Bryhnia novae-angliae"
"Bryoerythrophyllum recurvirostrum"
"Bryum argenteum var. argenteum"
"Bryum lanatum"
"Bucklandiella microcarpa"
"Bucklandiella sudetica"
"Cakile edentula var. edentula"
"Calamagrostis"
"Calamagrostis canadensis"
"Calamagrostis canadensis var. canadensis"
"Calamagrostis canadensis var. langsdorffii"
"Calamagrostis cinnoides"
"Calamagrostis epigejos"
"Calamagrostis pickeringii"
"Calamagrostis stricta"
"Calamagrostis stricta subsp. inexpansa"
"Calamagrostis stricta subsp. stricta"
"Calamagrostis ×acutiflora"
"Calla palustris"
"Calliergon cordifolium"
"Calliergon giganteum"
"Calliergon richardsonii"
"Calliergonella cuspidata"
"Calypso bulbosa var. americana"
"Camelina microcarpa"
"Campyliadelphus chrysophyllus"
"Campylium stellatum"
"Campylophyllum halleri"
"Campylophyllum hispidulum"
"Capsella bursa-pastoris"
"Cardamine nymanii"
"Cardamine pensylvanica"
"Carex adelostoma"
"Carex aquatilis var. aquatilis"
"Carex arctata"
"Carex atratiformis"
"Carex atrofusca"
"Carex bebbii"
"Carex bigelowii subsp. bigelowii"
"Carex brunnescens subsp. brunnescens"
"Carex brunnescens subsp. sphaerostachya"
"Carex buxbaumii"
"Carex canescens subsp. canescens"
"Carex canescens subsp. disjuncta"
"Carex capillaris"
"Carex capitata"
"Carex castanea"
"Carex chordorrhiza"
"Carex communis var. communis"
"Carex concinna"
"Carex conoidea"
"Carex crawfordii"
"Carex cryptolepis"
"Carex cumulata"
"Carex debilis var. rudgei"
"Carex deflexa var. deflexa"
"Carex deweyana var. deweyana"
"Carex diandra"
"Carex disperma"
"Carex eburnea"
"Carex flava"
"Carex foenea"
"Carex folliculata"
"Carex glacialis"
"Carex glareosa subsp. glareosa"
"Carex gracillima"
"Carex gynocrates"
"Carex heleonastes"
"Carex holostoma"
"Carex hostiana"
"Carex houghtoniana"
"Carex hystericina"
"Carex intumescens"
"Carex lachenalii"
"Carex lasiocarpa"
"Carex lenticularis var. lenticularis"
"Carex leptalea"
"Carex leptonervia"
"Carex limosa"
"Carex livida"
"Carex lurida"
"Carex mackenziei"
"Carex magellanica subsp. irrigua"
"Carex marina"
"Carex maritima"
"Carex membranacea"
"Carex michauxiana"
"Carex microglochin subsp. microglochin"
"Carex nardina"
"Carex nigra"
"Carex norvegica"
"Carex novae-angliae"
"Carex oligosperma"
"Carex paleacea"
"Carex pallescens"
"Carex panicea"
"Carex pauciflora"
"Carex pedunculata"
"Carex petricosa var. misandroides"
"Carex praticola"
"Carex projecta"
"Carex rariflora"
"Carex recta"
"Carex rostrata"
"Carex rotundata"
"Carex rupestris"
"Carex salina"
"Carex saxatilis"
"Carex scirpoidea subsp. scirpoidea"
"Carex stipata var. stipata"
"Carex stylosa"
"Carex subspathacea"
"Carex tenuiflora"
"Carex tonsa var. tonsa"
"Carex trisperma"
"Carex umbellata"
"Carex utriculata"
"Carex vacillans"
"Carex vaginata"
"Carex vesicaria"
"Carex viridula subsp. oedocarpa"
"Carex viridula var. elatior"
"Carex viridula var. saxilittoralis"
"Carex viridula var. viridula"
"Carex vulpinoidea"
"Carex wiegandii"
"Carex williamsii"
"Cassiope tetragona"
"Castilleja septentrionalis"
"Catabrosa"
"Catabrosa aquatica"
"Centaurea ×moncktonii"
"Cerastium alpinum subsp. alpinum"
"Cerastium alpinum subsp. lanatum"
"Cerastium arvense subsp. strictum"
"Cerastium beeringianum"
"Cerastium cerastoides"
"Cerastium fontanum subsp. vulgare"
"Ceratodon purpureus subsp. purpureus"
"Chamaedaphne calyculata"
"Chenopodium album"
"Cichorium intybus"
"Cinclidium stygium"
"Cinclidium subrotundum"
"Cinna"
"Cinna latifolia"
"Cirriphyllum piliferum"
"Cirsium muticum"
"Cladium mariscoides"
"Climacium dendroides"
"Clintonia borealis"
"Cochlearia groenlandica"
"Cochlearia tridactylites"
"Codriophorus acicularis"
"Codriophorus fascicularis"
"Comandra umbellata subsp. umbellata"
"Comarum palustre"
"Conostomum tetragonum"
"Conringia orientalis"
"Convallaria majalis var. majalis"
"Corallorhiza trifida"
"Cornus canadensis"
"Cornus sericea"
"Cornus suecica"
"Coscinodon cribrosus"
"Cratoneuron filicinum"
"Crepis nana"
"Cynodontium polycarpon"
"Cynodontium strumiferum"
"Cynodontium tenellum"
"Cypripedium parviflorum var. makasin"
"Cypripedium parviflorum var. pubescens"
"Cyrtomnium hymenophylloides"
"Cyrtomnium hymenophyllum"
"Danthonia"
"Danthonia intermedia"
"Danthonia spicata"
"Dasiphora fruticosa"
