"x"
"Abies balsamea"
"Abietinella abietina"
"Acaulon muticum var. rufescens"
"Acaulon triquetrum"
"Achillea alpina"
"Achillea millefolium"
"Achnatherum"
"Achnatherum arnowiae"
"Achnatherum hymenoides"
"Achnatherum nelsonii"
"Achnatherum nelsonii subsp. dorei"
"Achnatherum nelsonii subsp. nelsonii"
"Achnatherum richardsonii"
"Achnatherum splendens"
"Acorus americanus"
"Acroptilon repens"
"Actaea rubra"
"Ageratina altissima"
"Ageratina altissima var. altissima"
"Agoseris glauca"
"Agoseris glauca var. dasycephala"
"Agoseris glauca var. glauca"
"Agrimonia striata"
"Agropyron"
"Agropyron cristatum"
"Agropyron fragile"
"Agrostemma githago var. githago"
"Agrostis"
"Agrostis anadyrensis"
"Agrostis exarata"
"Agrostis gigantea"
"Agrostis mertensii"
"Agrostis nebulosa"
"Agrostis scabra"
"Agrostis stolonifera"
"Agrostis tolucensis"
"Alisma gramineum"
"Alisma triviale"
"Allium cernuum"
"Allium geyeri var. geyeri"
"Allium schoenoprasum"
"Allium stellatum"
"Allium textile"
"Almutaster pauciflorus"
"Alnus incana"
"Alnus incana subsp. rugosa"
"Alnus incana subsp. tenuifolia"
"Alnus viridis"
"Alnus viridis subsp. crispa"
"Alnus viridis subsp. fruticosa"
"Alopecurus"
"Alopecurus aequalis"
"Alopecurus aequalis var. aequalis"
"Alopecurus carolinianus"
"Alopecurus geniculatus"
"Alopecurus magellanicus"
"Alopecurus pratensis"
"Alyssum alyssoides"
"Alyssum desertorum"
"Amaranthus albus"
"Amaranthus blitoides"
"Amaranthus californicus"
"Amaranthus powellii"
"Amaranthus retroflexus"
"Amblystegium serpens"
"Ambrosia acanthicarpa"
"Ambrosia artemisiifolia"
"Ambrosia psilostachya"
"Ambrosia trifida"
"Amelanchier alnifolia"
"Amelanchier alnifolia var. alnifolia"
"Amelanchier humilis"
"Amelanchier sanguinea"
"Amerorchis rotundifolia"
"Amphidium lapponicum"
"Amphiscirpus nevadensis"
"Anagallis minima"
"Anaphalis margaritacea"
"Andreaea rupestris"
"Andromeda polifolia"
"Andromeda polifolia var. latifolia"
"Andromeda polifolia var. polifolia"
"Andropogon"
"Andropogon gerardii"
"Andropogon hallii"
"Andropogon liebmannii"
"Andropogon sect. Andropogon"
"Andropogon sect. Leptopogon"
"Androsace occidentalis"
"Androsace septentrionalis"
"Anemone canadensis"
"Anemone cylindrica"
"Anemone multifida"
"Anemone multifida var. multifida"
"Anemone parviflora"
"Anemone patens"
"Anemone patens var. multifida"
"Anemone quinquefolia"
"Anemone quinquefolia var. quinquefolia"
"Anemone richardsonii"
"Anemone virginiana"
"Anemone virginiana var. cylindroidea"
"Antennaria anaphaloides"
"Antennaria dimorpha"
"Antennaria howellii"
"Antennaria howellii subsp. canadensis"
"Antennaria howellii subsp. howellii"
"Antennaria howellii subsp. neodioica"
"Antennaria microphylla"
"Antennaria neglecta"
"Antennaria parvifolia"
"Antennaria pulcherrima"
"Antennaria pulcherrima subsp. pulcherrima"
"Antennaria rosea"
"Antennaria rosea subsp. arida"
"Antennaria rosea subsp. pulvinata"
"Antennaria rosea subsp. rosea"
"Antennaria umbrinella"
"Anthemis cotula"
"Aquilegia brevistyla"
"Aquilegia canadensis"
"Arabidopsis arenicola"
"Arabidopsis lyrata"
"Arabidopsis lyrata subsp. kamchatica"
"Arabidopsis lyrata subsp. lyrata"
"Arabis pycnocarpa"
"Arabis pycnocarpa var. pycnocarpa"
"Arceuthobium americanum"
"Arceuthobium pusillum"
"Arctium lappa"
"Arctium minus"
"Arctium tomentosum"
"Arctostaphylos uva-ursi"
"Arctous rubra"
"Arenaria serpyllifolia"
"Arenaria serpyllifolia var. serpyllifolia"
"Arethusa bulbosa"
"Aristida"
"Aristida purpurea"
"Aristida purpurea var. longiseta"
"Armeria maritima"
"Armeria maritima subsp. interior"
"Armoracia rusticana"
"Arnica angustifolia"
"Arnica angustifolia subsp. angustifolia"
"Arnica chamissonis"
"Arnica cordifolia"
"Arnica fulgens"
"Arnica lonchophylla"
"Arnica sororia"
"Artemisia abrotanum"
"Artemisia absinthium"
"Artemisia biennis"
"Artemisia borealis"
"Artemisia borealis subsp. borealis"
"Artemisia campestris"
"Artemisia campestris subsp. canadensis"
"Artemisia campestris subsp. caudata"
"Artemisia campestris subsp. pacifica"
"Artemisia cana"
"Artemisia cana subsp. cana"
"Artemisia dracunculus"
"Artemisia frigida"
"Artemisia longifolia"
"Artemisia ludoviciana"
"Artemisia ludoviciana subsp. ludoviciana"
"Artemisia tilesii"
"Artemisia vulgaris"
"Asparagus officinalis"
"Athyrium filix-femina"
"Athyrium filix-femina var. angustum"
"Athyrium filix-femina var. cyclosorum"
"Atrichum selwynii"
"Atriplex argentea"
"Atriplex argentea var. argentea"
"Atriplex dioica"
"Atriplex gardneri"
"Atriplex gardneri var. aptera"
"Atriplex gardneri var. gardneri"
"Atriplex hortensis"
"Atriplex patula"
"Atriplex powellii"
"Atriplex powellii var. powellii"
"Atriplex prostrata"
"Atriplex rosea"
"Atriplex suckleyi"
"Atriplex truncata"
"Aulacomnium palustre"
"Aulacomnium turgidum"
"Avena"
"Avena fatua"
"Avena sativa"
"Avenula"
"Avenula hookeri"
"Avenula pubescens"
"Axyris amaranthoides"
"Bacopa rotundifolia"
"Barbarea orthoceras"
"Barbarea vulgaris"
"Barbula convoluta var. convoluta"
"Barbula unguiculata"
"Bartramia pomiformis"
"Beckmannia"
"Beckmannia syzigachne"
"Berteroa incana"
"Betula glandulosa"
"Betula nana"
"Betula nana subsp. exilis"
"Betula neoalaskana"
"Betula occidentalis"
"Betula papyrifera"
"Betula pumila"
"Bidens beckii"
"Bidens cernua"
"Bidens frondosa"
"Bidens vulgata"
"Bistorta vivipara"
"Blysmopsis rufa"
"Boechera collinsii"
"Boechera grahamii"
"Boechera retrofracta"
"Boechera stricta"
"Bolboschoenus fluviatilis"
"Bolboschoenus maritimus"
"Bolboschoenus maritimus subsp. paludosus"
"Boltonia asteroides"
"Boltonia asteroides var. recognita"
"Botrychium campestre"
"Botrychium hesperium"
"Botrychium lanceolatum"
"Botrychium lanceolatum subsp. angustisegmentum"
"Botrychium lanceolatum subsp. lanceolatum"
"Botrychium lunaria"
"Botrychium minganense"
"Botrychium multifidum"
"Botrychium pallidum"
"Botrychium paradoxum"
"Botrychium pedunculosum"
"Botrychium simplex"
"Botrychium virginianum"
"Bouteloua"
"Bouteloua chondrosoides"
"Bouteloua curtipendula"
"Bouteloua curtipendula var. curtipendula"
"Bouteloua gracilis"
"Bouteloua subg. Bouteloua"
"Bouteloua subg. Chondrosum"
"Brachytheciastrum collinum"
"Brachythecium acuminatum"
"Brachythecium acutum"
"Brachythecium campestre"
"Brachythecium laetum"
"Brachythecium rivulare"
"Brassica juncea"
"Brassica napus"
"Brassica nigra"
"Brassica rapa"
"Bromus"
"Bromus anomalus"
"Bromus arvensis"
"Bromus caroli-henrici"
"Bromus ciliatus"
"Bromus commutatus"
"Bromus hallii"
"Bromus inermis"
"Bromus japonicus"
"Bromus latiglumis"
"Bromus porteri"
"Bromus pumpellianus"
"Bromus pumpellianus subsp. dicksonii"
"Bromus pumpellianus subsp. pumpellianus"
"Bromus racemosus"
