"x"
"Abies bifolia"
"Abietinella abietina"
"Achillea alpina"
"Achillea millefolium"
"Aconitum delphiniifolium"
"Aconogonon alaskanum"
"Aconogonon alaskanum var. glabrescens"
"Acorus americanus"
"Actaea rubra"
"Agoseris aurantiaca"
"Agoseris aurantiaca var. aurantiaca"
"Agoseris glauca"
"Agoseris glauca var. dasycephala"
"Agropyron"
"Agropyron cristatum"
"Agropyron fragile"
"Agrostis"
"Agrostis anadyrensis"
"Agrostis exarata"
"Agrostis gigantea"
"Agrostis mertensii"
"Agrostis nebulosa"
"Agrostis scabra"
"Agrostis stolonifera"
"Agrostis tolucensis"
"Alisma triviale"
"Allium fistulosum"
"Allium schoenoprasum"
"Almutaster pauciflorus"
"Alnus incana"
"Alnus incana subsp. tenuifolia"
"Alnus viridis"
"Alnus viridis subsp. crispa"
"Alnus viridis subsp. fruticosa"
"Alnus viridis subsp. sinuata"
"Aloina brevirostris"
"Alopecurus"
"Alopecurus aequalis"
"Alopecurus aequalis var. aequalis"
"Alopecurus arundinaceus"
"Alopecurus magellanicus"
"Alopecurus pratensis"
"Amaranthus retroflexus"
"Amblyodon dealbatus"
"Amblystegium serpens"
"Ambrosia artemisiifolia"
"Amelanchier alnifolia"
"Amelanchier alnifolia var. alnifolia"
"Amerorchis rotundifolia"
"Amphidium lapponicum"
"Amphidium mougeotii"
"Anaphalis margaritacea"
"Andreaea blyttii"
"Andreaea rupestris"
"Andreaeobryum macrosporum"
"Andromeda polifolia"
"Andromeda polifolia var. polifolia"
"Androsace chamaejasme"
"Androsace chamaejasme subsp. lehmanniana"
"Androsace septentrionalis"
"Anemone canadensis"
"Anemone drummondii"
"Anemone drummondii var. lithophila"
"Anemone multifida"
"Anemone multifida var. multifida"
"Anemone multifida var. saxicola"
"Anemone narcissiflora"
"Anemone narcissiflora var. monantha"
"Anemone parviflora"
"Anemone patens"
"Anemone patens var. multifida"
"Anemone richardsonii"
"Anomobryum concinnatum"
"Anomobryum julaceum"
"Antennaria alpina"
"Antennaria densifolia"
"Antennaria friesiana"
"Antennaria friesiana subsp. alaskana"
"Antennaria friesiana subsp. friesiana"
"Antennaria friesiana subsp. neoalaskana"
"Antennaria howellii"
"Antennaria howellii subsp. neodioica"
"Antennaria media"
"Antennaria microphylla"
"Antennaria monocephala"
"Antennaria monocephala subsp. angustata"
"Antennaria monocephala subsp. monocephala"
"Antennaria neglecta"
"Antennaria pulcherrima"
"Antennaria pulcherrima subsp. pulcherrima"
"Antennaria rosea"
"Antennaria rosea subsp. confinis"
"Antennaria rosea subsp. pulvinata"
"Antennaria rosea subsp. rosea"
"Anthoxanthum"
"Anthoxanthum arcticum"
"Anthoxanthum hirtum"
"Anthoxanthum monticola"
"Anthoxanthum monticola subsp. alpinum"
"Anthoxanthum monticola subsp. monticola"
"Anthoxanthum nitens"
"Anthoxanthum occidentale"
"Aongstroemia longipes"
"Aplodon wormskioldii"
"Aquilegia brevistyla"
"Arabidopsis lyrata"
"Arabidopsis lyrata subsp. kamchatica"
"Arabidopsis lyrata subsp. lyrata"
"Arabis pycnocarpa"
"Arabis pycnocarpa var. pycnocarpa"
"Arctagrostis"
"Arctagrostis latifolia"
"Arctagrostis latifolia subsp. arundinacea"
"Arctagrostis latifolia subsp. latifolia"
"Arctanthemum arcticum"
"Arctanthemum arcticum subsp. polare"
"Arctoa fulvella"
"Arctophila"
"Arctophila fulva"
"Arctostaphylos uva-ursi"
"Arctous alpina"
"Arctous rubra"
"Arenaria humifusa"
"Arenaria longipedunculata"
"Armeria maritima"
"Armeria maritima subsp. sibirica"
"Arnica angustifolia"
"Arnica angustifolia subsp. angustifolia"
"Arnica angustifolia subsp. tomentosa"
"Arnica chamissonis"
"Arnica cordifolia"
"Arnica griscomii"
"Arnica griscomii subsp. frigida"
"Arnica lanceolata"
"Arnica lanceolata subsp. prima"
"Arnica latifolia"
"Arnica lessingii"
"Arnica lonchophylla"
"Arnica mollis"
"Artemisia alaskana"
"Artemisia biennis"
"Artemisia borealis"
"Artemisia borealis subsp. borealis"
"Artemisia borealis subsp. richardsoniana"
"Artemisia frigida"
"Artemisia furcata"
"Artemisia tilesii"
"Asplenium trichomanes-ramosum"
"Aster alpinus"
"Aster alpinus subsp. vierhapperi"
"Athyrium filix-femina"
"Athyrium filix-femina var. cyclosorum"
"Atrichum selwynii"
"Atrichum tenellum"
"Atriplex gmelinii"
"Atriplex gmelinii var. gmelinii"
"Aulacomnium acuminatum"
"Aulacomnium palustre"
"Aulacomnium turgidum"
"Avena"
"Avena fatua"
"Avena sativa"
"Avenula"
"Avenula hookeri"
"Barbarea orthoceras"
"Barbula amplexifolia"
"Barbula convoluta var. gallinula"
"Barbula indica var. indica"
"Barbula unguiculata"
"Bartsia alpina"
"Beckmannia"
"Beckmannia syzigachne"
"Betula glandulosa"
"Betula nana"
"Betula nana subsp. exilis"
"Betula nana subsp. nana"
"Betula neoalaskana"
"Betula occidentalis"
"Betula papyrifera"
"Betula pumila"
"Bidens cernua"
"Bistorta plumosa"
"Bistorta vivipara"
"Blindia acuta"
"Blysmopsis rufa"
"Boechera calderi"
"Boechera grahamii"
"Boechera retrofracta"
"Boechera stricta"
"Bolboschoenus maritimus"
"Bolboschoenus maritimus subsp. paludosus"
"Boschniakia rossica"
"Botrychium lunaria"
"Botrychium minganense"
"Botrychium multifidum"
"Botrychium pinnatum"
"Botrychium spathulatum"
"Botrychium virginianum"
"Brachythecium cirrosum"
"Brachythecium rivulare"
"Brachythecium turgidum"
"Brassica juncea"
"Brassica napus"
"Brassica rapa"
"Braya glabella"
"Braya glabella subsp. glabella"
"Braya glabella subsp. purpurascens"
"Braya humilis"
"Braya humilis subsp. humilis"
"Braya humilis subsp. porsildii"
"Braya pilosa"
"Braya thorild-wulffii"
"Braya thorild-wulffii subsp. glabrata"
"Braya thorild-wulffii subsp. thorild-wulffii"
"Bromus"
"Bromus caroli-henrici"
"Bromus ciliatus"
"Bromus commutatus"
"Bromus hallii"
"Bromus hordeaceus"
"Bromus hordeaceus subsp. hordeaceus"
"Bromus hordeaceus subsp. molliformis"
"Bromus hordeaceus subsp. pseudothominei"
"Bromus hordeaceus subsp. thominei"
"Bromus inermis"
"Bromus japonicus"
"Bromus pumpellianus"
"Bromus pumpellianus subsp. dicksonii"
"Bromus pumpellianus subsp. pumpellianus"
"Bromus racemosus"
"Bromus richardsonii"
"Bromus riparius"
"Bromus sect. Bromopsis"
"Bromus sect. Bromus"
"Bromus sect. Ceratochloa"
"Bromus sect. Genea"
"Bromus sect. Neobromus"
"Bromus tectorum"
"Bryobrittonia longipes"
"Bryoerythrophyllum recurvirostrum"
"Bryum argenteum var. argenteum"
"Bryum blindii"
"Bryum lanatum"
"Calamagrostis"
"Calamagrostis canadensis"
"Calamagrostis canadensis var. canadensis"
"Calamagrostis canadensis var. langsdorffii"
"Calamagrostis canadensis var. macouniana"
"Calamagrostis cinnoides"
"Calamagrostis deschampsioides"
"Calamagrostis epigejos"
"Calamagrostis lapponica"
"Calamagrostis purpurascens"
"Calamagrostis stricta"
"Calamagrostis stricta subsp. inexpansa"
"Calamagrostis stricta subsp. stricta"
"Calamagrostis ×acutiflora"
"Calla palustris"
"Calliergon cordifolium"
"Calliergon giganteum"
"Calliergon megalophyllum"
"Calliergon richardsonii"
"Callitriche hermaphroditica"
"Callitriche palustris"
