"x"
"Abies balsamea"
"Abietinella abietina"
"Acalypha rhomboidea"
"Achillea millefolium"
"Achillea ptarmica"
"Acorus americanus"
"Acorus calamus"
"Actaea pachypoda"
"Actaea rubra"
"Adiantum pedatum"
"Adlumia fungosa"
"Agalinis maritima"
"Agalinis maritima var. maritima"
"Agalinis neoscotica"
"Agalinis purpurea"
"Agalinis purpurea var. parviflora"
"Agalinis tenuifolia"
"Ageratina altissima"
"Ageratina altissima var. altissima"
"Agrimonia gryposepala"
"Agrimonia striata"
"Agropyron"
"Agropyron cristatum"
"Agrostis"
"Agrostis anadyrensis"
"Agrostis canina"
"Agrostis capillaris"
"Agrostis gigantea"
"Agrostis nebulosa"
"Agrostis perennans"
"Agrostis scabra"
"Agrostis stolonifera"
"Agrostis tolucensis"
"Aira"
"Aira caryophyllea"
"Aira caryophyllea var. capillaris"
"Aira caryophyllea var. caryophyllea"
"Aira praecox"
"Alchemilla filicaulis"
"Alchemilla filicaulis subsp. filicaulis"
"Alchemilla filicaulis subsp. vestita"
"Alchemilla micans"
"Alchemilla monticola"
"Alchemilla venosa"
"Alchemilla xanthochlora"
"Alisma triviale"
"Allium schoenoprasum"
"Allium tricoccum var. tricoccum"
"Alnus incana"
"Alnus incana subsp. rugosa"
"Alnus serrulata"
"Alnus viridis"
"Alnus viridis subsp. crispa"
"Aloina rigida var. rigida"
"Alopecurus"
"Alopecurus aequalis"
"Alopecurus aequalis var. aequalis"
"Alopecurus geniculatus"
"Alopecurus pratensis"
"Amaranthus albus"
"Amaranthus hybridus"
"Amaranthus retroflexus"
"Amblystegium serpens"
"Ambrosia artemisiifolia"
"Ambrosia psilostachya"
"Ambrosia trifida"
"Amelanchier arborea"
"Amelanchier bartramiana"
"Amelanchier canadensis"
"Amelanchier canadensis var. canadensis"
"Amelanchier fernaldii"
"Amelanchier interior"
"Amelanchier intermedia"
"Amelanchier laevis"
"Amelanchier nantucketensis"
"Amelanchier spicata"
"Ammophila"
"Ammophila arenaria"
"Ammophila breviligulata"
"Ammophila breviligulata subsp. breviligulata"
"Ammophila breviligulata subsp. champlainensis"
"Amphidium lapponicum"
"Amphidium mougeotii"
"Anacamptodon splachnoides"
"Anagallis arvensis"
"Anagallis minima"
"Anaphalis margaritacea"
"Andreaea rothii"
"Andreaea rupestris"
"Andromeda polifolia"
"Andromeda polifolia var. latifolia"
"Anemone americana"
"Anemone canadensis"
"Anemone quinquefolia"
"Anemone quinquefolia var. quinquefolia"
"Anemone virginiana"
"Anemone virginiana var. alba"
"Anomodon attenuatus"
"Anomodon rostratus"
"Anomodon rugelii"
"Anomodon tristis"
"Anomodon viticulosus"
"Antennaria howellii"
"Antennaria howellii subsp. canadensis"
"Antennaria howellii subsp. neodioica"
"Antennaria howellii subsp. petaloidea"
"Antennaria neglecta"
"Antennaria parlinii"
"Antennaria parlinii subsp. parlinii"
"Antennaria plantaginifolia"
"Anthemis arvensis"
"Anthemis cotula"
"Anthoxanthum"
"Anthoxanthum arcticum"
"Anthoxanthum hirtum"
"Anthoxanthum nitens"
"Anthoxanthum occidentale"
"Anthoxanthum odoratum"
"Aphanes arvensis"
"Aquilegia vulgaris"
"Arabis pycnocarpa"
"Arabis pycnocarpa var. pycnocarpa"
"Arceuthobium pusillum"
"Arctium minus"
"Arctium tomentosum"
"Arctoa fulvella"
"Arctostaphylos uva-ursi"
"Arenaria humifusa"
"Arenaria serpyllifolia"
"Arenaria serpyllifolia var. serpyllifolia"
"Arethusa bulbosa"
"Arisaema triphyllum"
"Armoracia rusticana"
"Arnica lonchophylla"
"Arnoseris minima"
"Aronia arbutifolia"
"Aronia melanocarpa"
"Arrhenatherum"
"Arrhenatherum elatius"
"Arrhenopterum heterostichum"
"Artemisia absinthium"
"Artemisia biennis"
"Artemisia pontica"
"Artemisia stelleriana"
"Artemisia vulgaris"
"Aruncus dioicus"
"Aruncus dioicus var. vulgaris"
"Asparagus officinalis"
"Asplenium trichomanes"
"Asplenium trichomanes subsp. trichomanes"
"Asplenium trichomanes-ramosum"
"Athyrium filix-femina"
"Athyrium filix-femina var. angustum"
"Atrichum altecristatum"
"Atrichum angustatum"
"Atrichum crispulum"
"Atrichum crispum"
"Atrichum undulatum"
"Atriplex dioica"
"Atriplex glabriuscula"
"Atriplex glabriuscula var. acadiensis"
"Atriplex glabriuscula var. franktonii"
"Atriplex glabriuscula var. glabriuscula"
"Atriplex laciniata"
"Atriplex littoralis"
"Atriplex patula"
"Atriplex prostrata"
"Atriplex rosea"
"Aulacomnium androgynum"
"Aulacomnium palustre"
"Avena"
"Avena fatua"
"Avena sativa"
"Axyris amaranthoides"
"Baccharis halimifolia"
"Barbarea vulgaris"
"Barbula convoluta var. convoluta"
"Barbula unguiculata"
"Bartramia pomiformis"
"Beckmannia"
"Beckmannia syzigachne"
"Bellis perennis"
"Berberis thunbergii"
"Berberis vulgaris"
"Betula alleghaniensis"
"Betula cordifolia"
"Betula glandulosa"
"Betula michauxii"
"Betula minor"
"Betula papyrifera"
"Betula populifolia"
"Betula pumila"
"Bidens beckii"
"Bidens cernua"
"Bidens connata"
"Bidens discoidea"
"Bidens frondosa"
"Bidens hyperborea"
"Bidens vulgata"
"Bistorta officinalis"
"Blindia acuta"
"Blysmopsis rufa"
"Bolboschoenus maritimus"
"Bolboschoenus maritimus subsp. paludosus"
"Botrychium dissectum"
"Botrychium lanceolatum"
"Botrychium lanceolatum subsp. angustisegmentum"
"Botrychium lunaria"
"Botrychium matricariifolium"
"Botrychium minganense"
"Botrychium multifidum"
"Botrychium simplex"
"Botrychium virginianum"
"Brachyelytrum"
"Brachyelytrum aristosum"
"Brachyelytrum erectum"
"Brachytheciastrum velutinum var. velutinum"
"Brachythecium acuminatum"
"Brachythecium albicans"
"Brachythecium campestre"
"Brachythecium laetum"
"Brachythecium rivulare"
"Brachythecium rutabulum"
"Brasenia schreberi"
"Brassica juncea"
"Brassica napus"
"Brassica nigra"
"Brassica rapa"
"Briza"
"Briza media"
"Bromus"
"Bromus caroli-henrici"
"Bromus ciliatus"
"Bromus commutatus"
"Bromus erectus"
"Bromus hallii"
"Bromus hordeaceus"
"Bromus hordeaceus subsp. hordeaceus"
"Bromus hordeaceus subsp. molliformis"
"Bromus hordeaceus subsp. pseudothominei"
"Bromus hordeaceus subsp. thominei"
"Bromus inermis"
"Bromus japonicus"
"Bromus pumpellianus"
"Bromus pumpellianus subsp. dicksonii"
"Bromus pumpellianus subsp. pumpellianus"
"Bromus racemosus"
"Bromus richardsonii"
"Bromus riparius"
"Bromus secalinus"
"Bromus sect. Bromopsis"
"Bromus sect. Bromus"
"Bromus sect. Ceratochloa"
"Bromus sect. Genea"
"Bromus sect. Neobromus"
"Bromus tectorum"
"Brotherella recurvans"
"Bryhnia novae-angliae"
"Bryoerythrophyllum recurvirostrum"
"Bryum argenteum var. argenteum"
"Bryum lanatum"
"Bucklandiella affinis"
"Bucklandiella microcarpa"
"Bucklandiella sudetica"
"Bucklandiella venusta"
"Bulbostylis capillaris"
"Bunias orientalis"
"Butomus umbellatus"
"Buxbaumia aphylla"
"Buxbaumia minakatae"
"Cakile edentula"
"Cakile edentula var. edentula"
"Calamagrostis"
"Calamagrostis canadensis"
"Calamagrostis canadensis var. canadensis"
"Calamagrostis canadensis var. macouniana"
"Calamagrostis cinnoides"
"Calamagrostis epigejos"
"Calamagrostis pickeringii"
"Calamagrostis stricta"
"Calamagrostis stricta subsp. inexpansa"
"Calamagrostis stricta subsp. stricta"
"Calamagrostis ×acutiflora"
"Calla palustris"
"Callicladium haldanianum"
"Calliergon cordifolium"
"Calliergon giganteum"
"Calliergonella cuspidata"
"Callitriche heterophylla"
