"x"
"Abies balsamea"
"Achillea millefolium"
"Achillea ptarmica"
"Acorus americanus"
"Actaea pachypoda"
"Actaea rubra"
"Agalinis tenuifolia"
"Agrimonia gryposepala"
"Agrimonia striata"
"Agrostemma githago var. githago"
"Agrostis"
"Agrostis anadyrensis"
"Agrostis canina"
"Agrostis capillaris"
"Agrostis gigantea"
"Agrostis nebulosa"
"Agrostis perennans"
"Agrostis scabra"
"Agrostis stolonifera"
"Agrostis tolucensis"
"Alisma triviale"
"Allium schoenoprasum"
"Alnus incana"
"Alnus incana subsp. rugosa"
"Alnus viridis"
"Alnus viridis subsp. crispa"
"Alopecurus"
"Alopecurus aequalis"
"Alopecurus aequalis var. aequalis"
"Alopecurus geniculatus"
"Alopecurus pratensis"
"Amaranthus albus"
"Amaranthus powellii"
"Amaranthus retroflexus"
"Amaranthus tuberculatus"
"Amblystegium serpens"
"Ambrosia artemisiifolia"
"Ambrosia psilostachya"
"Ambrosia trifida"
"Amelanchier bartramiana"
"Amelanchier canadensis"
"Amelanchier canadensis var. canadensis"
"Amelanchier fernaldii"
"Amelanchier interior"
"Amelanchier intermedia"
"Amelanchier laevis"
"Amelanchier spicata"
"Ammophila"
"Ammophila breviligulata"
"Ammophila breviligulata subsp. breviligulata"
"Ammophila breviligulata subsp. champlainensis"
"Anaphalis margaritacea"
"Andromeda polifolia"
"Andromeda polifolia var. latifolia"
"Anemone canadensis"
"Anomodon attenuatus"
"Antennaria howellii"
"Antennaria howellii subsp. canadensis"
"Antennaria howellii subsp. neodioica"
"Antennaria howellii subsp. petaloidea"
"Anthemis arvensis"
"Anthemis cotula"
"Anthoxanthum"
"Anthoxanthum arcticum"
"Anthoxanthum hirtum"
"Anthoxanthum nitens"
"Anthoxanthum occidentale"
"Anthoxanthum odoratum"
"Aquilegia vulgaris"
"Arceuthobium pusillum"
"Arctium minus"
"Arctium tomentosum"
"Arctostaphylos uva-ursi"
"Arenaria humifusa"
"Arenaria serpyllifolia"
"Arenaria serpyllifolia var. serpyllifolia"
"Arethusa bulbosa"
"Arisaema triphyllum"
"Armoracia rusticana"
"Arnoseris minima"
"Aronia arbutifolia"
"Aronia melanocarpa"
"Artemisia absinthium"
"Artemisia biennis"
"Artemisia ludoviciana"
"Artemisia ludoviciana subsp. ludoviciana"
"Artemisia stelleriana"
"Artemisia vulgaris"
"Asparagus officinalis"
"Asplenium trichomanes-ramosum"
"Athyrium filix-femina"
"Athyrium filix-femina var. angustum"
"Atrichum altecristatum"
"Atrichum crispulum"
"Atrichum crispum"
"Atrichum tenellum"
"Atrichum undulatum"
"Atriplex glabriuscula"
"Atriplex glabriuscula var. acadiensis"
"Atriplex laciniata"
"Atriplex littoralis"
"Atriplex prostrata"
"Aulacomnium androgynum"
"Aulacomnium palustre"
"Avena"
"Avena fatua"
"Avena hybrida"
"Avena sativa"
"Barbarea vulgaris"
"Barbula unguiculata"
"Beckmannia"
"Beckmannia syzigachne"
"Berberis thunbergii"
"Berberis vulgaris"
"Betula alleghaniensis"
"Betula cordifolia"
"Betula glandulosa"
"Betula papyrifera"
"Betula populifolia"
"Betula pumila"
"Bidens cernua"
"Bidens connata"
"Bidens eatonii"
"Bidens frondosa"
"Bidens heterodoxa"
"Blysmopsis rufa"
"Bolboschoenus maritimus"
"Bolboschoenus maritimus subsp. maritimus"
"Bolboschoenus maritimus subsp. paludosus"
"Botrychium lunaria"
"Botrychium minganense"
"Botrychium spathulatum"
"Botrychium virginianum"
"Brachyelytrum"
"Brachyelytrum aristosum"
"Brachytheciastrum velutinum var. velutinum"
"Brassica juncea"
"Brassica napus"
"Brassica nigra"
"Brassica oleracea"
"Brassica rapa"
"Bromus"
"Bromus caroli-henrici"
"Bromus ciliatus"
"Bromus commutatus"
"Bromus hallii"
"Bromus inermis"
"Bromus japonicus"
"Bromus pumpellianus"
"Bromus pumpellianus subsp. dicksonii"
"Bromus pumpellianus subsp. pumpellianus"
"Bromus racemosus"
