"x"
"Abies balsamea"
"Abietinella abietina"
"Acalypha rhomboidea"
"Acaulon muticum var. rufescens"
"Achillea alpina"
"Achillea millefolium"
"Achillea ptarmica"
"Acorus americanus"
"Acorus calamus"
"Actaea pachypoda"
"Actaea rubra"
"Adiantum aleuticum"
"Adiantum pedatum"
"Adlumia fungosa"
"Agalinis purpurea"
"Agalinis purpurea var. parviflora"
"Agalinis tenuifolia"
"Ageratina altissima"
"Ageratina altissima var. altissima"
"Agoseris aurantiaca"
"Agoseris aurantiaca var. aurantiaca"
"Agrimonia gryposepala"
"Agrimonia pubescens"
"Agrimonia striata"
"Agropyron"
"Agropyron cristatum"
"Agrostemma githago var. githago"
"Agrostis"
"Agrostis anadyrensis"
"Agrostis canina"
"Agrostis capillaris"
"Agrostis gigantea"
"Agrostis mertensii"
"Agrostis nebulosa"
"Agrostis perennans"
"Agrostis scabra"
"Agrostis stolonifera"
"Agrostis tolucensis"
"Alcea rosea"
"Alchemilla filicaulis"
"Alchemilla filicaulis subsp. filicaulis"
"Alchemilla filicaulis subsp. vestita"
"Alchemilla glabra"
"Alchemilla glaucescens"
"Alchemilla glomerulans"
"Alchemilla micans"
"Alchemilla monticola"
"Alchemilla subcrenata"
"Alchemilla xanthochlora"
"Alisma gramineum"
"Alisma subcordatum"
"Alisma triviale"
"Allium canadense var. canadense"
"Allium schoenoprasum"
"Allium tricoccum var. burdickii"
"Allium tricoccum var. tricoccum"
"Allium vineale"
"Alnus incana"
"Alnus incana subsp. rugosa"
"Alnus serrulata"
"Alnus viridis"
"Alnus viridis subsp. crispa"
"Alopecurus"
"Alopecurus aequalis"
"Alopecurus aequalis var. aequalis"
"Alopecurus geniculatus"
"Alopecurus magellanicus"
"Alopecurus pratensis"
"Althaea officinalis"
"Alyssum alyssoides"
"Alyssum murale"
"Amaranthus albus"
"Amaranthus blitoides"
"Amaranthus blitum"
"Amaranthus hybridus"
"Amaranthus powellii"
"Amaranthus retroflexus"
"Amaranthus tuberculatus"
"Amblyodon dealbatus"
"Amblystegium serpens"
"Ambrosia artemisiifolia"
"Ambrosia psilostachya"
"Ambrosia trifida"
"Amelanchier amabilis"
"Amelanchier arborea"
"Amelanchier bartramiana"
"Amelanchier canadensis"
"Amelanchier canadensis var. canadensis"
"Amelanchier fernaldii"
"Amelanchier gaspensis"
"Amelanchier humilis"
"Amelanchier interior"
"Amelanchier intermedia"
"Amelanchier laevis"
"Amelanchier sanguinea"
"Amelanchier spicata"
"Amerorchis rotundifolia"
"Ammophila"
"Ammophila breviligulata"
"Ammophila breviligulata subsp. breviligulata"
"Ammophila breviligulata subsp. champlainensis"
"Amphidium lapponicum"
"Amphidium mougeotii"
"Anacamptodon splachnoides"
"Anagallis arvensis"
"Anaphalis margaritacea"
"Andreaea blyttii"
"Andreaea rupestris"
"Andromeda polifolia"
"Andromeda polifolia var. latifolia"
"Andromeda polifolia var. polifolia"
"Andropogon"
"Andropogon gerardii"
"Andropogon liebmannii"
"Andropogon sect. Andropogon"
"Andropogon sect. Leptopogon"
"Androsace septentrionalis"
"Anemone acutiloba"
"Anemone americana"
"Anemone canadensis"
"Anemone cylindrica"
"Anemone multifida"
"Anemone multifida var. multifida"
"Anemone parviflora"
"Anemone quinquefolia"
"Anemone quinquefolia var. quinquefolia"
"Anemone richardsonii"
"Anemone virginiana"
"Anemone virginiana var. alba"
"Anemone virginiana var. cylindroidea"
"Anemone virginiana var. virginiana"
"Anomobryum concinnatum"
"Anomodon attenuatus"
"Anomodon minor"
"Anomodon rostratus"
"Anomodon rugelii"
"Anomodon tristis"
"Anomodon viticulosus"
"Antennaria alpina"
"Antennaria friesiana"
"Antennaria friesiana subsp. friesiana"
"Antennaria howellii"
"Antennaria howellii subsp. canadensis"
"Antennaria howellii subsp. neodioica"
"Antennaria howellii subsp. petaloidea"
"Antennaria microphylla"
"Antennaria monocephala"
"Antennaria monocephala subsp. angustata"
"Antennaria neglecta"
"Antennaria parlinii"
"Antennaria parlinii subsp. fallax"
"Antennaria parlinii subsp. parlinii"
"Antennaria plantaginifolia"
"Antennaria pulcherrima"
"Antennaria pulcherrima subsp. pulcherrima"
"Antennaria rosea"
"Antennaria rosea subsp. arida"
"Antennaria rosea subsp. confinis"
"Antennaria rosea subsp. pulvinata"
"Anthemis arvensis"
"Anthemis cotula"
"Anthoxanthum"
"Anthoxanthum arcticum"
"Anthoxanthum aristatum"
"Anthoxanthum hirtum"
"Anthoxanthum monticola"
"Anthoxanthum monticola subsp. alpinum"
"Anthoxanthum monticola subsp. monticola"
"Anthoxanthum nitens"
"Anthoxanthum occidentale"
"Anthoxanthum odoratum"
"Antirrhinum majus"
"Aphanorrhegma serratum"
"Aplectrum hyemale"
"Aplodon wormskioldii"
"Aquilegia canadensis"
"Aquilegia vulgaris"
"Arabidopsis arenicola"
"Arabidopsis thaliana"
"Arabis alpina"
"Arabis caucasica"
"Arabis pycnocarpa"
"Arabis pycnocarpa var. pycnocarpa"
"Arceuthobium pusillum"
"Arctagrostis"
"Arctagrostis latifolia"
"Arctagrostis latifolia subsp. arundinacea"
"Arctagrostis latifolia subsp. latifolia"
"Arctanthemum arcticum"
"Arctanthemum arcticum subsp. polare"
"Arctium lappa"
"Arctium minus"
"Arctium tomentosum"
"Arctoa fulvella"
"Arctophila"
"Arctophila fulva"
"Arctostaphylos uva-ursi"
"Arctous alpina"
"Arctous rubra"
"Arenaria humifusa"
"Arenaria serpyllifolia"
"Arenaria serpyllifolia var. serpyllifolia"
"Arethusa bulbosa"
"Arisaema dracontium"
"Arisaema triphyllum"
"Aristida"
"Aristida basiramea"
"Aristolochia clematitis"
"Armoracia rusticana"
"Arnica angustifolia"
"Arnica angustifolia subsp. angustifolia"
"Arnica chamissonis"
"Arnica griscomii"
"Arnica griscomii subsp. griscomii"
"Arnica lanceolata"
"Arnica lanceolata subsp. lanceolata"
"Arnica lonchophylla"
"Aronia arbutifolia"
"Aronia melanocarpa"
"Arrhenatherum"
"Arrhenatherum elatius"
"Artemisia abrotanum"
"Artemisia absinthium"
"Artemisia annua"
"Artemisia biennis"
"Artemisia campestris"
"Artemisia campestris subsp. canadensis"
"Artemisia campestris subsp. caudata"
"Artemisia frigida"
"Artemisia ludoviciana"
"Artemisia ludoviciana subsp. ludoviciana"
"Artemisia pontica"
"Artemisia stelleriana"
"Artemisia tilesii"
"Artemisia vulgaris"
"Aruncus dioicus"
"Aruncus dioicus var. vulgaris"
"Asarum canadense"
"Asparagus officinalis"
"Aspidotis densa"
"Asplenium platyneuron"
"Asplenium rhizophyllum"
"Asplenium ruta-muraria"
"Asplenium trichomanes"
"Asplenium trichomanes subsp. quadrivalens"
"Asplenium trichomanes subsp. trichomanes"
"Asplenium trichomanes-ramosum"
"Athyrium distentifolium"
"Athyrium distentifolium var. americanum"
"Athyrium filix-femina"
"Athyrium filix-femina var. angustum"
"Athyrium filix-femina var. cyclosorum"
"Atrichum altecristatum"
"Atrichum angustatum"
"Atrichum crispulum"
"Atrichum crispum"
"Atrichum tenellum"
"Atriplex dioica"
"Atriplex glabriuscula"
"Atriplex glabriuscula var. acadiensis"
"Atriplex glabriuscula var. glabriuscula"
"Atriplex heterosperma"
"Atriplex hortensis"
"Atriplex laciniata"
"Atriplex patula"
"Atriplex prostrata"
"Aulacomnium acuminatum"
"Aulacomnium androgynum"
"Aulacomnium palustre"
"Aulacomnium turgidum"
"Aurinia saxatilis"
"Avena"
"Avena fatua"
"Avena sativa"
"Avena sterilis"
"Avenula"
"Avenula hookeri"
"Avenula pubescens"
"Axyris amaranthoides"
"Barbarea orthoceras"
"Barbarea stricta"
"Barbarea vulgaris"
